id,insight,status,type,mentions,notes_for_reviewer,reviewed
97,The user needs the AI to support him to be quicker with their task.,Well done - positive feedback outweighs negative,General Feedback,12,,true
98,The user needs help in gaining an initial overview of a (complex) topic.,Well done - positive feedback outweighs negative,General Feedback,25,,true
99,The user needs a clear structure of answers in order to easily understand it.,Well done - positive feedback outweighs negative,General Feedback,37,,true
101,The user needs the system to provide answers in appropriate language.,Identified - JIRA ticket exists,General Feedback,19,,true
102,The user needs the answers to have a high accuracy to be beneficial to him.,Identified - JIRA ticket exists,General Feedback,85,,true
103,The users need to have a reliable data base as the source of the answers.,Well done - positive feedback outweighs negative,General Feedback,71,,true
104,The user wants to be able to work with their own (existing) documents.,Planned for development,General Feedback,5,,true
105,The user needs to be able to get a summary in order to get a quick overview.,Well done - positive feedback outweighs negative,General Feedback,9,,true
106,The user needs to be able to set the interface language of the app in Noxtua.,New – Not yet discussed,Missing Feature,1,,true
107,The user needs to be able to upload files larger than 10 MB.,Identified - JIRA ticket exists,Improvement,11,,true
108,The user expects to get (in itself and for the same request) consistent answers.,Identified - JIRA ticket exists,General Feedback,8,,true
109,The user needs all relevant sources to be available and used for the answer.,Identified - JIRA ticket exists,General Feedback,23,,true
110,The user needs to get feedback regarding the completion of the file upload.,Implemented - a solution is released,Improvement,6,,true
111,The user expects the answer to be updated with the information from follow-up prompting instead of just appending it at the end.,New – Not yet discussed,Improvement,1,,true
112,The user doesn't want to see the interim results but only the final result.,New – Not yet discussed,General Feedback,1,,true
113,The user needs the most recent version of a source to be used instead of an outdated version.,Identified - JIRA ticket exists,General Feedback,23,,true
114,The user needs to be able to compare different legislations easily.,New – Not yet discussed,Idea,2,,true
115,The user needs to be able to continue the chat even after longer times of inactivity.,Implemented - a solution is released,General Feedback,4,,true
116,The user needs guidance in case of occuring errors in order to be able to understand what is going wrong.,Identified - JIRA ticket exists,Improvement,15,,true
119,The user needs to be able to see which chat was about which topic in order to easily navigate to the right chat.,Implemented - a solution is released,Missing Feature,4,,true
120,"The user needs a date/time tracker for the product in order to work on cases, where time matters.",Identified - JIRA ticket exists,Missing Feature,4,,true
121,User wants to upload a whole folder with many documents in it - into the Matrix Analysis.,Identified - JIRA ticket exists,Improvement,2,,true
122,The user wants to be able to ask questions back and further process created matrices in the chat.,Identified - JIRA ticket exists,Improvement,5,,true
124,The user needs to be able to create new criteria and matrices in Matrix Analysis quickly and easily.,Well done - positive feedback outweighs negative,General Feedback,2,,true
126,The user needs Matrix Analysis to evaluate large amounts of data simultaneously with speed and efficiency.,Well done - positive feedback outweighs negative,General Feedback,5,,true
127,"The user expects an easy to understand interface for the Matrix, with appropriate sizing of input fields and self-explanatory guidance through the UI.",Identified - JIRA ticket exists,Improvement,6,,true
128,The user needs upload times in Matrix Analysis to be reliably fast and always return a result.,New – Not yet discussed,Improvement,2,,true
129,"The user needs Matrix Analysis results to be reliable and expects the tool to handle law updates clearly, without requiring manual review.",New – Not yet discussed,Improvement,2,,true
130,The user needs Matrix Analysis to apply consistent logic between columns and across rows.,New – Not yet discussed,Improvement,1,,true
132,The users want higher recognition rate of relevant information within uploaded documents.,Identified - JIRA ticket exists,General Feedback,8,,true
133,The user wants to be able to set up a workflow that compares a document in the Canvas with an uploaded document and trigger changes so that both of them are matching.,Identified - JIRA ticket exists,Missing Feature,5,,true
134,"The user doesn't want to have to differentiate beforehand between Canvas and Chat, but being able to open the canvas retrospectively for interactive editing, when they want to change sections and or do manual editing.",Implemented - a solution is released,General Feedback,2,,true
135,User want to be able to insert line breaks in prompts easily with one click.,New – Not yet discussed,Improvement,2,,true
136,Users want to be able to ask questions to specific sections & prompt changes based on specific sections.,Implemented - a solution is released,Missing Feature,12,,true
137,The user needs the compare-changes feature to be intuitive and its icon to be self-explanatory.,Implemented - a solution is released,Improvement,2,,true
138,Users want the ability to turn on/off numbering in a document.,Implemented - a solution is released,Idea,1,,true
139,Users want to be able to mark up (color highlights) documents for clarity and emphasis.,New – Not yet discussed,Idea,2,,true
140,Users expect the Editor to open automatically when a draft is prompted.,New – Not yet discussed,Improvement,14,,true
141,The users struggle and wish for help when interacting with the canvas.,Implemented - a solution is released,Missing Feature,15,,true
142,"User highlight that, familiar document editing and review features (like e.g. tracked changes) are important for adoption of the Editor.",Well done - positive feedback outweighs negative,General Feedback,4,,true
143,The users would like to be able to store prompts and share with other users for usage.,Implemented - a solution is released,Missing Feature,8,,true
144,The users expect the tool to seamlessly integrate into their current text editing tools (i.e. word).,Implemented - a solution is released,Improvement,32,,true
145,"The users would like to see the content mapped to specific pages, i.e. page breaks and page numbering.",New – Not yet discussed,Improvement,2,,true
146,The users appreciate that the export keeps the tracked changes just like in word.,Well done - positive feedback outweighs negative,General Feedback,24,,true
147,"The users would like the tool to prioritize accuracy over convenience, i.e. they rather prefer an ""I don't know"" or ""I'm not sure"" over a false response or incorrect sources.",Planned for development,General Feedback,5,,true
148,"The users would like to interact with the system more conversation like, getting questions and hints back from the system.",Identified - JIRA ticket exists,Improvement,16,,true
149,User want a customizable layout in order to not need multiple displays when interacting with the tool.,Identified - JIRA ticket exists,Idea,8,,true
150,"The users wish to store their own standard snippets (clauses, as a “Baukasten”) that can be accessed through the system.",Planned for development,Missing Feature,11,,true
151,"The users would like to be able to use content templates, that can be accessed to draft documents.",Planned for development,Missing Feature,33,,true
153,The user needs the tool to differentiate between document content and annotations and only add the content into their document.,Identified - JIRA ticket exists,Improvement,8,,true
154,"The user expects to be able to use simple, Google-style prompts effectively without needing to learn complex multi-step prompting.",Identified - JIRA ticket exists,General Feedback,4,,true
155,The users want the tool to be able to handle tables and diagrams within their documents.,New – Not yet discussed,Improvement,3,,true
156,"The user expects the Editor interface to be intuitive, with a layout and button design familiar from other tools.",Well done - positive feedback outweighs negative,General Feedback,10,,true
157,The user wants to be able to only get a high-level overview of the thinking process and only dig deeper on demand.,Implemented - a solution is released,Improvement,15,,true
158,The users would like to be able to revert changes that they or the tool made.,Well done - positive feedback outweighs negative,Improvement,4,,true
159,The user would like documents in noxtua to have a version history in order to be able to revert to specific state in time.,Identified - JIRA ticket exists,Missing Feature,4,,true
160,"The users want to have granular control over which changes they accept, by seeing which part is the currently accepted part.",Identified - JIRA ticket exists,Improvement,3,,true
161,The users expect the tool to stick to the language of an uploaded document and not to e.g. switch to German just because the prompt was German.,New – Not yet discussed,Improvement,2,,true
162,The users would like to be able to seamlessly use the tool with their email program.,Planned for development,Missing Feature,21,,true
163,The users have trouble differentiating the upload function in the Canvas from the one in the chat.,Well done - positive feedback outweighs negative,General Feedback,4,,true
164,The users expect the tool to offer a collaborative environment in which they can comment and work at the same time in order to exchange with colleagues.,Identified - JIRA ticket exists,Missing Feature,14,,true
165,The users expect the tool to ask questions back if the input provided is ambiguous.,Identified - JIRA ticket exists,Improvement,7,,true
167,Users wanna be able to customize the layout particularly for having an Editor only view.,Identified - JIRA ticket exists,Improvement,6,,true
168,Users want to replace prompting by filling Dropdowns in order to avoid having to write prompts.,New – Not yet discussed,Idea,1,,true
169,"The user expects the tool to identify non-lawful clauses and clauses that could be to their disadvantage automatically after upload, without the user needed to prompt it.",Identified - JIRA ticket exists,Idea,3,,true
170,"The users would like to be able to interact with the tool via voice input, in order to work more efficiently.",Implemented - a solution is released,Missing Feature,19,,true
171,The users expect the tool to do automatic consistency checks across the document.,Identified - JIRA ticket exists,Idea,3,,true
172,The user expects the tool to offer both structured (decision-tree-like) and flexible (more creative) editing of documents to accommodate both standard but also exceptional cases.,New – Not yet discussed,Idea,2,,true
173,The users would like to be able to intervene if they see the modal is thinking in a wrong direction in order to adjust the result to what they actually need.,Identified - JIRA ticket exists,Idea,4,,true
174,The user wants the tool to highlight significant changes to them in order to easier navigate especially big edits that the tool makes to documents.,New – Not yet discussed,Idea,1,,true
175,The users find the presence of change buttons before any edits were made confusing.,New – Not yet discussed,Improvement,2,,true
176,"The users don't want the citation panel to pop-up automatically, particularly when Editor is open.",New – Not yet discussed,Improvement,3,,true
187,The users expect an intuitive handling and interface.,Well done - positive feedback outweighs negative,General Feedback,36,,true
189,"The tool produces very good results with contract drafts, particularly in the IT sector (e.g. hardware maintenance contracts including SLA and schedules of services).",Well done - positive feedback outweighs negative,General Feedback,6,,true
191,The user needs direct links to Beck-Online sources to be included in the output.,New – Not yet discussed,Improvement,1,,true
192,User needs to be able to name the export to be able to continue working efficiently.,Implemented - a solution is released,Improvement,1,,true
193,User need the chat export to be able to work efficiently.,Well done - positive feedback outweighs negative,General Feedback,1,,true
194,User need to get all relevant sources linked to their answer in order to get the full picture.,New – Not yet discussed,Improvement,2,,true
196,"The user needs the tool to provide accurate answers on the first attempt, without requiring multiple follow-up queries to reach the correct solution.",New – Not yet discussed,Improvement,3,,true
197,The users need the reponses to be available within reasonable time.,Identified - JIRA ticket exists,Improvement,6,,true
203,"The users want to be able to filter the sources used for their answer generation, in order to remove non relevant sources from consideration.",Identified - JIRA ticket exists,Missing Feature,7,,true
204,The user wants to be able to customize they way of working of the system more to their needs.,Identified - JIRA ticket exists,Missing Feature,5,,true
205,"The users want to be able to store documents in project based structure, in order to be able to better work with them.",New – Not yet discussed,Missing Feature,3,,true
208,The user wants to be able to upload more than 10 files in order to compare more files into one table or use them as input.,Identified - JIRA ticket exists,Improvement,6,,true
209,"The user does not want to see citations that are not wrong, but granted in order to avoid having too many sources.",New – Not yet discussed,Improvement,1,,true
210,The user needs the tool to weigh sources accordingly to avoid contradicting or wrong information.,Identified - JIRA ticket exists,Improvement,28,,true
211,The users expect the tool to seamlessly integrate into their current database tools (ie. Excel).,Identified - JIRA ticket exists,Missing Feature,6,,true
212,"The users would like to be able to use format templates, that can be accessed to draft documents in order to match individual, company or law firm style.",Identified - JIRA ticket exists,Missing Feature,27,,true
213,"The user needs to be able to look into the fulltext of the provided answer, in order to make sure that the context also fits the legal case.",Well done - positive feedback outweighs negative,General Feedback,41,,true
214,"The user needs the system to stick with one language within a chat (unless prompted otherwise), in order to reduce mental load and needing to translate.",Identified - JIRA ticket exists,Improvement,12,,true
215,"The users want to be able to select only parts of the answer to copy for further usage, e.g. excluding thinking or certain detailed explanations.",New – Not yet discussed,Improvement,2,,true
216,The user wants to be able to use Powerpoint as an Input Document in order to be able to use all their usually used documents as input.,Well done - positive feedback outweighs negative,General Feedback,4,,true
218,The user needs the system to be able to process PDF content as input for the answer.,Implemented - a solution is released,General Feedback,1,,true
219,The user needs more onboarding for the matrix analysis in order to work with it.,Planned for development,Improvement,3,,true
220,The user needs the system to be more resistant to upper and lower case writing.,New – Not yet discussed,Improvement,1,,true
221,The user needs legislations of different countries to be used for cases that involve international parties.,Implemented - a solution is released,General Feedback,6,,true
222,"The user expects the tool to be able to translate legal findings into technical/product implications, in order to communicate them efficiently to other (non-legal) parties.",New – Not yet discussed,Missing Feature,1,,true
223,The users expect the tool to know who they are or who they work for and consider that for answer generation.,Identified - JIRA ticket exists,Missing Feature,9,,true
224,The users need to be able to easily understand the research output.,New – Not yet discussed,Improvement,1,,true
225,The user needs the system to indicate legal uncertainty if there are alternative viewpoints or if there are ongoing debates.,New – Not yet discussed,Improvement,1,,true
226,The user would like to be able to create slide and speaker bulletpoints for a specific topic to transfer that to powerpoint for speeches.,New – Not yet discussed,Improvement,1,,true
227,The user needs the system to be resistant to the way a prompt is worded.,Well done - positive feedback outweighs negative,General Feedback,2,,true
228,The users need more onboarding on how to prompt best.,Implemented - a solution is released,Missing Feature,5,,true
229,The user wants the system to automatically update matrices with new decisions.,New – Not yet discussed,Missing Feature,1,,true
230,The user would like to be able to work in another chat while the prompt is running.,New – Not yet discussed,Missing Feature,1,,true
231,The user needs to be able to stop the tool from running in order to correct mistakes.,Planned for development,Missing Feature,15,,true
232,"The user needs the tool to comply with data security measures necessary for the data that they work with and to comply with their ""Berufsrecht"".",Well done - positive feedback outweighs negative,General Feedback,12,,true
234,The user expects Beck-Noxtua to be competitive with comparable tools such as Libra and Legora.,New – Not yet discussed,General Feedback,4,,true
236,"The user needs to be able to access chats over time and from different devices and browsers, so that the history is always accessible.",Planned for development,Missing Feature,15,,true
238,The user needs a playbook function for contract comparisons and template contracts.,Planned for development,Missing Feature,2,,true
240,The user needs a prompt library as a central working resource.,New – Not yet discussed,Missing Feature,1,,true
241,"The user needs clear guidance options for controlled AI deployment, similar to a data room approach.",New – Not yet discussed,Missing Feature,1,,true
242,The user needs references in pleadings or contracts to be more strongly and reliably linked.,New – Not yet discussed,General Feedback,1,,true
244,The user needs to be able to compare different documents uploaded within a matrix.,Implemented - a solution is released,Missing Feature,1,,true
245,The user expects matrix functions to be self-explanatory and displays to be well-structured.,Well done - positive feedback outweighs negative,General Feedback,3,,true
246,The user needs the tool to be able to process also scanned documents.,Implemented - a solution is released,Improvement,2,,true
247,"The user needs to be able to export the entire chat, including all sub-questions.",Identified - JIRA ticket exists,Missing Feature,5,,true
249,"The user needs to not be limited by context window size constraints when working with large documents or complex tasks. (Proposed solution: option to set context window to 250,000 tokens or higher.)",New – Not yet discussed,Improvement,1,,true
250,The user needs the tool to support visual language (VL) capabilities so that floor plans can be used for rental agreement tasks.,New – Not yet discussed,Improvement,1,,true
251,The users want to be able to have the reasoning directly at the changed clause in order to have full transparency for themselves and others.,Implemented - a solution is released,Missing Feature,3,,true
252,The user needs the AI to seamlessly integrate into word by inserting and prompting directly in the word environment without additional manual effort on their end.,Implemented - a solution is released,Improvement,9,,true
253,The user wants to be able to see the sources of the generated content directly in word in order to have full transparency.,Implemented - a solution is released,General Feedback,7,,true
254,The users want to be able to mark sections within a word document and prompt referring only the selected content.,Implemented - a solution is released,Missing Feature,7,,true
255,"The user expects the tool to directly use the words tracked changes feature, so that they themselves keep the overview of the changes and can send it to other parties.",Implemented - a solution is released,Improvement,8,,true
256,"The users expect by using the word add in that the formatting templates they use and the formatting that the document has is obeyed by the AI when changes and insertions are made, so that they don't have to fix formatting.",Identified - JIRA ticket exists,General Feedback,7,,true
257,The users expect the word-add-in to be intuitive and offer guidance so that they don't have to watch tutorials to be able to use it.,Identified - JIRA ticket exists,General Feedback,5,,true
259,"The user expects each change suggestion to come with a reasoning, why it should be changed in this way, in order to make an informed decision on the change.",Implemented - a solution is released,Missing Feature,4,,true
260,"The user expects change suggestions to come with the supporting law of the reason for the change, to see which source it was derived from.",Implemented - a solution is released,Missing Feature,1,,true
261,"The user needs to be able to get an overview of all changes to evaluate them in context, to be able to make a decision on each of the changes.",New – Not yet discussed,Missing Feature,2,,true
262,The user needs to be able to preview changes before they are applied in the document in order to feel in control and be able to individually review them.,Implemented - a solution is released,Idea,5,,true
263,The users wish to be able to have transparency of why changes have been made even after inserting them into the document in order to allow themselves or another party to have full transparency into reasoning.,Implemented - a solution is released,Missing Feature,3,,true
264,"The user would like to be able to apply all changes after reviewing them, in order to not have to approve each one individually.",New – Not yet discussed,Improvement,3,,true
265,The user needs the tool to be able to offer automatic insertion or preview of changes for manual approval in order to be able to work efficiently in all cases.,Implemented - a solution is released,Missing Feature,4,,true
266,The user needs to be able to lock parts of a document so that they are not edited by the AI anymore.,New – Not yet discussed,Missing Feature,3,,true
267,The user would like to be able to tell the tool how harsh or lenient the AI should be when reviewing and suggesting changes to a document.,New – Not yet discussed,Missing Feature,1,,true
268,The user expects the tool to adjust the drafting to individual style and preferences.,Identified - JIRA ticket exists,Missing Feature,8,,true
269,The user needs to be able disable tracking changes so that they can quickly iterate from scratch until they have a solid state from which they then want to track the essentiell changes being made.,Implemented - a solution is released,General Feedback,4,,true
270,The user wants to know which file is affected if one of the files can't be read.,New – Not yet discussed,Improvement,1,,true
271,The user expects a clear distinction between thinking process and content output in order to navigate the result.,Implemented - a solution is released,Improvement,5,,true
272,The user need the document drafting to be more detailed in order to be able to continue working with the generated document.,New – Not yet discussed,Improvement,2,,true
273,The user would like to be supported in drafting answers to a request in understandable language.,Well done - positive feedback outweighs negative,General Feedback,2,,true
274,"Users wish for a seamless integration of all features within the tool (e.g. Workflows, matrix, Chat).",Identified - JIRA ticket exists,Improvement,15,,true
275,User would like to have an admin view where they can see metrics of usage behaviour in their company in order to target trainings and licenses accordingly.,Identified - JIRA ticket exists,Missing Feature,3,,true
276,The user needs the tool to use further external data sources.,Identified - JIRA ticket exists,Missing Feature,6,,true
277,The user needs a possibility to connect the individual steps of a workflow with each other or with decision points.,Implemented - a solution is released,General Feedback,4,,true
278,The user wants a tool case that already involves example e.g. prompts / steps which they can reuse or adjust to their needs.,Implemented - a solution is released,Missing Feature,3,,true
279,The user wants to be able to add prompts to a tool case which they can reuse or adjust to their needs.,New – Not yet discussed,General Feedback,2,,true
280,The user would like to be able to assign specific documents to a workflow/ step within a workflow.,Implemented - a solution is released,Missing Feature,5,,true
281,The user would like to be able to create workflows in cooperation with the tool by e.g. prompting an intial workflow that is set up by the tool.,Identified - JIRA ticket exists,Missing Feature,5,,true
282,The user would like to be able to improve an existing workflow in cooperation with noxtua by active prompting.,New – Not yet discussed,Idea,2,,true
284,The user needs to be able to create decision points for their workflows.,Implemented - a solution is released,General Feedback,2,,true
285,The user needs a dashboard or a whiteboard on which I can insert single prompts which all can be integrated into one workflow.,New – Not yet discussed,General Feedback,2,,true
286,The user needs to be able to (re-)name the individual workflows.,Implemented - a solution is released,General Feedback,2,,true
287,"The user would like to be able to define triggers, which would lead to starting the workflow.",New – Not yet discussed,General Feedback,2,,true
288,The user would like to have the option to set the trigger for the workflow to manual.,Implemented - a solution is released,General Feedback,1,,true
289,The user would like to be able to create/ adjust a workflow using drag & drop to make it es effortless as possible.,New – Not yet discussed,General Feedback,2,,true
290,The user would like to predefine in the workflow which specific parts of a template should be adjusted/ filled based on the input.,New – Not yet discussed,General Feedback,1,,true
291,The user would like to get suggestions for new workflows based on his usage of the AI.,New – Not yet discussed,Missing Feature,2,,true
292,The user would like the AI to suggest next logical steps based on the already existing ones in a workflow.,New – Not yet discussed,General Feedback,1,,true
293,The user would like to stay in control and decide whether they want suggestions for workflow improvements from the AI or not.,New – Not yet discussed,General Feedback,1,,true
294,The user would like to only provide the input for the workflow and then to have it run autonomously.,Implemented - a solution is released,General Feedback,4,,true
295,"The user needs to be able to retrace the results of every step of the workflow, in order to double check results.",Implemented - a solution is released,General Feedback,3,,true
296,The user needs to be able to check used sources in a workflow easily (i.e. one click).,Implemented - a solution is released,General Feedback,2,,true
297,The user would like to be actively involved if multiple options to proceed arise.,New – Not yet discussed,General Feedback,1,,true
298,The user would like to be able to adjust an existing workflow based on their needs (e.g. changing parameters).,New – Not yet discussed,General Feedback,2,,true
299,The user would like to be able to also run parts of workflows only.,New – Not yet discussed,General Feedback,1,,true
300,The user needs to be able to share workflows with other users individually.,Identified - JIRA ticket exists,Missing Feature,6,,true
301,"The user needs to be able to share workflows/ templates with certain user groups (e.g. department, legal area).",Identified - JIRA ticket exists,General Feedback,5,,true
302,"The user wants to be able to provide access to workflows not only for individual workflows but also by workflow groups, that they can set up .",New – Not yet discussed,General Feedback,1,,true
303,"The user wants other users to only be able to use the workflow not edit it, so that their workflow is not ruined.",Implemented - a solution is released,General Feedback,3,,true
304,"The user needs to be able to collaborate within workflows, i.e. not only one person can give input/ review steps in the workflow.",Identified - JIRA ticket exists,Missing Feature,5,,true
305,The user needs to be able to export the final result that a workflow produced for documentation/ sharing purposes.,New – Not yet discussed,Missing Feature,2,,true
306,"The user needs to be able to use his own documents (e.g. files, folders) within workflows.",Identified - JIRA ticket exists,Improvement,6,,true
307,The user would like to be able to use matrices in workflows.,Identified - JIRA ticket exists,General Feedback,4,,true
308,"The user would like the workflows to be able to use the drafting tools (i.e. canvas, word-add-in) for text creation.",Identified - JIRA ticket exists,General Feedback,4,,true
309,The user wants to be able to store and use word documents within a knowledge base.,Planned for development,General Feedback,7,,true
310,The user wants to be able to store and use PDF documents within a knowledge base.,Planned for development,General Feedback,5,,true
311,The user wants to be able to store and use Excel documents within a knowledge base.,Planned for development,General Feedback,3,,true
312,The user wants to be able to store and use Email documents within a knowledge base.,Planned for development,General Feedback,4,,true
313,The user wants to be able to store and use Powerpoint documents within a knowledge base.,New – Not yet discussed,General Feedback,4,,true
314,The user wants to be able to store and use format templates from a knowledge base.,Identified - JIRA ticket exists,General Feedback,6,,true
315,"The users would like to be able to use old files, that can be accessed to draft documents.",Identified - JIRA ticket exists,General Feedback,9,,true
316,The user wants to be able to store and use pleadings in a knowledge base.,Planned for development,General Feedback,3,,true
317,The user wants to be able to store and use rulings/ judgements in a knowledge base.,Planned for development,General Feedback,2,,true
318,The user wants to be able to store and use internal guidelines in a knowledge base.,Planned for development,General Feedback,3,,true
319,The user wants to be able to store and use additional legal commentary in a knowledge base.,Planned for development,General Feedback,1,,true
320,The user wants to be able to store and use additional external data sources (e.g. laws from other countries) in a knowledge base.,Planned for development,General Feedback,1,,true
321,The user wants to be able to manually select documents from the knowledge base for a prompt.,Implemented - a solution is released,General Feedback,6,,true
322,The user needs the solution to work really well to be able to let the solution choose relevant documents from within the knowledge base on its own for a case.,Identified - JIRA ticket exists,General Feedback,7,,true
323,The user needs to be able to get an overview of existing documents within the knowledge base.,Identified - JIRA ticket exists,Missing Feature,5,,true
324,The user needs documents within the knowledge base to have meta data available to them.,Planned for development,Missing Feature,3,,true
325,The user needs to create folders within the knowledge base in order to be able to structure their documents.,Planned for development,General Feedback,2,,true
326,The user needs to be able to share files in the knowledge base with individual users.,Identified - JIRA ticket exists,General Feedback,3,,true
327,The user needs to be able to share files in the knowledge base with ceratin teams.,New – Not yet discussed,Missing Feature,2,,true
328,The user needs to be able to share files in the knowledge base with all users.,Planned for development,General Feedback,3,,true
329,The user needs also people without license to be able to input documents into a knowledge base as input material.,Identified - JIRA ticket exists,Missing Feature,3,,true
330,The user needs content from the documents within the knowledge base to be cited precisely word by word.,Planned for development,General Feedback,7,,true
331,The user needs content from the documents within the knowledge base to be used only as reference (not exact matching of phrasing).,Identified - JIRA ticket exists,General Feedback,8,,true
332,The user needs to be able to search through documents within the knowledge base.,Identified - JIRA ticket exists,Missing Feature,3,,true
333,The user needs to be able to manually add and edit meta information of a file stored in the knowledge base.,New – Not yet discussed,General Feedback,3,,true
334,The user wants to be able to retrace from which document a information orginiated from.,Implemented - a solution is released,General Feedback,5,,true
335,The user wants to be able to add tags in the knowledge base to improve filtering and searchability.,New – Not yet discussed,General Feedback,2,,true
336,The user wants to be able to ask questions to documents within their knowledge base in order to identify the answer.,New – Not yet discussed,General Feedback,2,,true
337,The user wants the AI to automatically update the information in the knowledge base based on changes in the law or commentaries.,New – Not yet discussed,Missing Feature,1,,true
338,The user needs the knowledge base and especially editing and uploading of documents to be retricted in order to make sure information is correct and not everybody can change documents or upload them publicly without review.,New – Not yet discussed,General Feedback,2,,true
339,The user wants to be able to seleting whole folders for usage in a prompt in order to not have select all documents manually.,New – Not yet discussed,General Feedback,1,,true
340,The users would like to have an Integration/ API for automation to feed in data from DMS (via vector-based data base) into the knowledge base.,Identified - JIRA ticket exists,Missing Feature,5,,true
341,The users would like to be supported in structuring the files within the knowledge base.,Identified - JIRA ticket exists,Missing Feature,4,,true
342,The users would like to be able to seamlessly use the tool with their file management system.,Planned for development,Missing Feature,16,,true
343,"The user would like to enable clients to take over parts of their work supported by AI, so that they are more the reviewing and strategic instance.",New – Not yet discussed,Missing Feature,1,,true
344,"The user needs the tool to support me in documenting my approach and the usage of AI, in order to make sure that I don't run into liability issues.",Identified - JIRA ticket exists,Missing Feature,3,,true
345,The user needs to be able to give access to their files on a case-by-case basis in order to ensure control.,Identified - JIRA ticket exists,General Feedback,8,,true
346,"The user needs the tool to adjust the output to the purpose that I wanna use it for (e.g. if The user wants to use it in an email, the language and lenght should be adequate).",Identified - JIRA ticket exists,Missing Feature,6,,true
347,The user needs the tool to provide them with practical usage examples and explains it step-by-step to me so that I can learn how to best use the tool.,Identified - JIRA ticket exists,General Feedback,4,,true
348,"The user needs a digital ""Schmierzettel"" in order to organize my thoughts and findings to put it together later.",New – Not yet discussed,Idea,1,,true
