"id","insight","type","sourceTypes","source","userGroup","squads","features","country","status","mentions","quotes","notes","created","lastModified","sentiment","publisher","jira","isNew","unclassified"
"52","The user needs the answers to be adapted their role, so that they can use the information best.","Idea","Direct Feedback","Continous_Direct_Feedback_corporate","Corporate Law Department","AI Squad","","All","New - Not yet discussed","0","""Das Sprachmodell sich das Beste aus allen Welten suchen (z.B. BeckOFs) und vielleicht sogar schon auf den Prompt eingehen und sagen: „Ich lege einen besonderen Schwerpunkt auf oder ich könnte dann sogar schreiben: „Bitte schreib das aus Sicht des Bestellers oder schreib das aus Sicht des Anbieters (anwenderfreundlich)""","","2025-10-09","2026-02-02","Mixed","","","true","true"
"53","The user needs the answers to be adapted to their level of expertise, that they can work best with the answers.","Improvement","Direct Feedback;Hackathon","Continous_Direct_Feedback_small_law_firm,2025_11_Zalando_Hackathon","Small Law Firm; Corporate Law Department","AI Squad","","All","New - Not yet discussed","2","","","2025-10-09","2026-02-02","Negative","","","true","true"
"54","The user needs to be enabled to quickly gain an overview of a legal topic in order to work efficiently on that topic.","General Feedback","Direct Feedback;Hackathon;Interview Study","Continous_Direct_Feedback_big_law_firm,2025_11_Zalando_Hackathon,Continous_Direct_Feedback_GovernmentInstitutions,2026_03_Personas_Judiciary","Big Law Firm; Corporate Law Department; Government Institutions; Prosecution/ Judges","","Research","All","Well done - positive feedback outweighs negative","4","""super Zusammenfassung""
""What works well: getting at least a usable overview of unfamiliar legal areas in very short time, becoming somewhat speaking-fluent"" (Judiciary Personas)","","2025-10-09","2026-05-01","Negative","","","false","true"
"55","The user needs to be able to use the tool to draft text snippets so that they can save time.","General Feedback","Direct Feedback","Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_small_law_firm,Continous_Direct_Feedback_GovernmentInstitutions","Big Law Firm; Small Law Firm; Government Institutions","Drafting Squad","","All","Well done - positive feedback outweighs negative","3","","","2025-10-09","2026-03-02","Negative","","","false","true"
"57","The application runs mostly quickly and smoothly. Saves a lot of work.","General Feedback","Direct Feedback","Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_small_law_firm","Corporate Law Department; Small Law Firm","","","All","Well done - positive feedback outweighs negative","2","“Hätte nicht gedacht, dass so eine Anwendung heute schon möglich sei” ","","2025-10-10","2026-02-02","Negative","","","false","true"
"58","The user needs the tool to be transparent if it does not have any sources available.","Improvement","Direct Feedback","Continous_Direct_Feedback_small_law_firm,2025_11_Beck_Feedback_Survey_2","Small Law Firm; Mixed","Platform Squad","Research","All","New - Not yet discussed","4","","","2025-10-10","2026-02-02","Negative","Beck Germany","","true","false"
"59","Citations are often inaccurate (e.g., bibliography instead of text passage) 
Primary sources are missing: Judgments were cited almost exclusively via secondary sources.","General Feedback","Direct Feedback","Continous_Direct_Feedback_small_law_firm","Small Law Firm","AI Squad","Research","All","New - Not yet discussed","1","","","2025-10-10","2026-02-02","Negative","","","true","false"
"60","Formularhandbücher used as a substitute source: unsuitable for doctrinal questions","General Feedback","Direct Feedback","Continous_Direct_Feedback_small_law_firm","Small Law Firm","AI Squad","Research","All","New - Not yet discussed","1","","","2025-10-10","2026-02-02","Negative","","","true","false"
"61","The citation system should differentiate between primary and secondary sources.","Improvement","Direct Feedback","Continous_Direct_Feedback_small_law_firm","Small Law Firm","AI Squad","Research","All","New - Not yet discussed","1","","","2025-10-10","2026-02-02","Negative","","","true","false"
"62","The user needs a complete list of the sources additionally to synthesized results.","Improvement","Direct Feedback;Interview Study","Continous_Direct_Feedback_small_law_firm,2026_01_Workflow_Expectations_Interview","Small Law Firm; Mixed","Platform Squad","Workflows;Research","All","New - Not yet discussed","3","","","2025-10-10","2026-02-02","Negative","","","true","false"
"64","The user wants a consistent citation format with Pin Cites.","Improvement","Direct Feedback;Interview Study","Continous_Direct_Feedback_small_law_firm,2026_02_Personas_Corporate","Small Law Firm; Corporate Law Department","Platform Squad","","All","New - Not yet discussed","2","""Source citations don't follow the standard citation style used in briefs - I always have to go into Beck Online again to fix them"" (Corporate Personas)","","2025-10-10","2026-05-01","Negative","","","true","true"
"66","Added value compared to GPT not always evident","General Feedback","Direct Feedback","Continous_Direct_Feedback_corporate,Bayrische_Landesbank_042026","Corporate Law Department","","","All","New - Not yet discussed","3","","","2025-10-13","2026-04-23","Negative","","","true","true"
"69","The user needs the direct citations and no indirect ones of a secondary source.","To be removed","Direct Feedback","Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm","Corporate Law Department; Big Law Firm","AI Squad","Research","All","New - Not yet discussed","3","","","2025-10-13","2026-02-02","Negative","","","true","false"
"70","The user needs to be able to give feedback regarding the quality of the task fulfillment.","Missing Feature","Direct Feedback","Continous_Direct_Feedback_corporate","Corporate Law Department","Platform Squad","All","All","New - Not yet discussed","2","","","2025-10-13","2026-02-02","Negative","","","true","false"
"71","The user needs the tool to make own deductions beyond the provision and integration of feedback.","Improvement","Direct Feedback;Interview Study","Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","Corporate Law Department; Big Law Firm","AI Squad","Research","All","New - Not yet discussed","4","","","2025-10-13","2026-02-02","Negative","","","true","false"
"72","The user needs the tool to also provide them with alternative perspectives not only e.g. with the predominant one.","Improvement","Direct Feedback;Interview Study","Continous_Direct_Feedback_corporate,2026_02_Personas_Corporate,2026_03_Personas_Judiciary","Corporate Law Department; Corporate Law Department; Prosecution/ Judges","AI Squad","Research","All","New - Not yet discussed","5","""Even positive hallucination leads to a new thought you wouldn't have had alone (Corp6); AI helps me take other perspectives - you only ever think from your own (Justice6)"" (Corporate / Judiciary Personas)","","2025-10-13","2026-05-01","Negative","","","true","false"
"74","The user wants to be able to add additional (e.g. internal) data and cases to the tool, so that it can integrate this data as well.","Missing Feature","Direct Feedback;Interview Study","Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,2025_12_KnowledgeBase_UCs_Interviews","Corporate Law Department; Big Law Firm; Mixed","Platform Squad","Document Storage;Knowledge Base","All","Identified - JIRA ticket exists","21","","","2025-10-13","2026-04-17","Negative","","","false","false"
"75","The user needs to be able to customize the tool to fit to their individual or company internal policies or preferences.","Missing Feature","Direct Feedback;Interview Study;Usability Testing","Continous_Direct_Feedback_corporate,202510-Canvas-Interview_Testing,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,2025_11_Personas_M_B_Lawfirms","Corporate Law Department; Mixed; Mixed; Mixed; Big Law Firm","Platform Squad","User Profile","All","Identified - JIRA ticket exists","9","","","2025-10-13","2026-02-02","Negative","Beck Germany","","false","false"
"76","The user needs to have insights into the sources of the provided answer in order to verify results easier.","General Feedback","Direct Feedback;Hackathon;Interview Study","Continous_Direct_Feedback_big_law_firm,2025_11_Beck_Feedback_Survey_2,2025_11_Zalando_Hackathon,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions,Continous_Direct_Feedback_corporate,Bayrische_Landesbank_042026","Big Law Firm; Mixed; Corporate Law Department; Big Law Firm; Government Institutions; Corporate Law Department","Platform Squad","Research","All","Well done - positive feedback outweighs negative","65","","","2025-10-14","2026-04-23","Negative","Beck Germany","","false","false"
"77","The users have different needs for the level of detail of the answer.","Missing Feature","Direct Feedback;Hackathon;Interview Study","Continous_Direct_Feedback_big_law_firm,2025_11_Zalando_Hackathon,2026_02_Personas_Corporate","Big Law Firm; Corporate Law Department; Corporate Law Department","Platform Squad","Research;Personalization","All","Identified - JIRA ticket exists","7","“Wäre toll, wenn man einstellen könnte, wie ausführlich die Antworten sind”
""I want to prompt that I want a topic detailed, or simply broken down"" (Corporate Personas)","Should be looked at holistically as a topic of user/ answer preferences. > should monitored!","2025-10-14","2026-05-01","Negative","","","false","false"
"78","The user would like to be able to see exactly from which part of a source the model derived the answer.","Missing Feature","Direct Feedback;Interview Study","Continous_Direct_Feedback_big_law_firm,2026_01_Workflow_Expectations_Interview,2025_12_KnowledgeBase_UCs_Interviews,Continous_Publisher_Swiss_Noxtua","Big Law Firm; Mixed; Mixed; Publisher","Platform Squad","Research;Knowledge Base","All","Identified - JIRA ticket exists","9","“Direkt Quellen an der Seite einzusehen wäre natürlich noch besser.”","Study to be planned","2025-10-14","2026-04-17","Negative","Swiss","","false","false"
"79","The user needs to be able to understand which steps the AI takes to derive the results.","General Feedback","Direct Feedback;Interview Study;User Interview","Continous_Direct_Feedback_big_law_firm,202510-Canvas-Interview,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_small_law_firm,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions","Big Law Firm; Corporate Law Department; Mixed; Corporate Law Department; Small Law Firm; Big Law Firm; Government Institutions","Platform Squad","Thinking Process","All","Well done - positive feedback outweighs negative","28","","","2025-10-14","2026-03-02","Negative","Beck Germany","","false","false"
"80","The user would like to be able to integrate their thoughts with the official information from the provided sources.","Improvement","Direct Feedback","Continous_Direct_Feedback_big_law_firm","Big Law Firm","AI Squad","","All","New - Not yet discussed","2","","","2025-10-14","2026-02-02","Negative","","","true","true"
"81","The user needs transparency about data security measures to be sure that their data is being treated confidentially and is not distributed, but only locally on their machine.","General Feedback","Direct Feedback","Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_small_law_firm","Big Law Firm; Small Law Firm","Platform Squad","All","All","Identified - JIRA ticket exists","6","“Ist das jetzt wirklich lokal oder wird das auf einen Server hochgeladen?”

es reicht, dass ihr versichert und uns überzeugt, dass ihr das auch einhaltet  „glaubhaft machen“, z.B. Verschlüsselungsprozess erklären","3 People mention in the Beck Feedback Survey, that this is already a good thing. However, in the sales call the user still didn't seem to be sure.

Shared in Marketing, Onepager for Sales is build. Recheck if that reduces uncertainty.","2025-10-14","2026-02-02","Negative","","","false","false"
"82","The user wants to be able to share generated matrixes with their colleagues.","Missing Feature","Direct Feedback","Continous_Direct_Feedback_big_law_firm","Big Law Firm","","Matrix-Analysis","All","New - Not yet discussed","1","","","2025-10-14","2026-02-02","Negative","","","true","true"
"83","The user needs to be able to generate customized workflows in order to handle complex tasks.","Missing Feature","Direct Feedback;Interview Study","Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions","Big Law Firm; Corporate Law Department; Big Law Firm; Government Institutions","Platform Squad","Workflows;To-Do-List","All","Identified - JIRA ticket exists","13","","","2025-10-14","2026-02-02","Negative","","","false","false"
"84","The user needs to be able to import on Matrixes to provide the system with more information.","Missing Feature","Direct Feedback","Continous_Direct_Feedback_big_law_firm","Big Law Firm","","","All","New - Not yet discussed","1","","","2025-10-14","2026-03-31","Negative","","","true","true"
"85","The user needs to be able to work within their document in one place to work seamlessly and to minimize window/context switching.","Improvement","User Interview","202510-Canvas-Interview","Corporate Law Department","Drafting Squad","Word-Add-In","All","New - Not yet discussed","0","""und dann wäre es natürlich cool, wenn Noxtua direkt im Dokument auch Gegenvorschläge machen könnte, entweder um die Nachteile abzuschwächen oder die Klausel halt auch mal zu meinen Gunsten umzudrehen.""","","2025-10-15","2026-02-02","Negative","","","true","false"
"86","The user needs to be able to access templates from the word-add-in in order to have everything in one place.","Missing Feature","User Interview","202510-Canvas-Interview","Corporate Law Department","","Templates","All","New - Not yet discussed","1","","","2025-10-15","2026-02-02","Negative","","","true","true"
"87","The user needs help in optimizing the content of a document regarding their needs.","Idea","Interview Study;User Interview","202510-Canvas-Interview,2025_11_Personas_M_B_Lawfirms","Corporate Law Department; Big Law Firm","AI Squad","Document Review;Workflows","All","New - Not yet discussed","2","","","2025-10-15","2026-02-02","Mixed","","","true","false"
"88","The user wants to be able to see and decide on proposed changes in order to stay in control.","General Feedback","User Interview","202510-Canvas-Interview","Corporate Law Department","Drafting Squad","","All","New - Not yet discussed","2","Mhm Nein, in Word gibt es ja diesen Überprüfungsmodus Markup Modus, wenn die Änderungen alle im im Markup wären, dann kann man da ja relativ schnell sich dann durchklicken und entweder annehmen oder ablehnen, oder?","","2025-10-15","2026-02-02","Negative","","","true","true"
"89","The user needs to be able to use their own templates.","General Feedback","User Interview","202510-Canvas-Interview","Corporate Law Department","","Word-Add-In;Canvas","All","New - Not yet discussed","1","","","2025-10-15","2026-03-04","Negative","","","true","true"
"90","The user wants to be supported in taking the right measures to a request.","Idea","Interview Study;User Interview","202510-Canvas-Interview,2026_02_Personas_Corporate","Corporate Law Department; Corporate Law Department","","Document Review","All","New - Not yet discussed","2","""The tool does an initial check - is it in the right area, are documents complete; simple questions it could answer directly"" (Corporate Personas)","","2025-10-15","2026-05-01","Mixed","","","true","true"
"92","The user needs to be supported in comparing two different versions of a document.","General Feedback","Interview Study;User Interview","202510-Canvas-Interview,2026_02_Personas_Corporate","Corporate Law Department; Corporate Law Department","","Document Review","All","New - Not yet discussed","3","""Lay our concern standard against another document and tell me where it deviates - red flag, OK or equal"" (Corporate Personas)","","2025-10-15","2026-05-01","Negative","","","true","true"
"93","The less technical-affine user needs to be enabled to use the tool within their known environment.","General Feedback","Interview Study;User Interview","202510-Canvas-Interview,2025_11_Personas_M_B_Lawfirms","Corporate Law Department; Big Law Firm","","Word-Add-In","All","Identified - JIRA ticket exists","8","","","2025-10-15","2026-02-23","Negative","","","false","true"
"94","The user needs to be able to stick with their custom formatting and fonts, in order not having to reformat their document.","Improvement","Interview Study;User Interview","202510-Canvas-Interview,2025_11_Personas_M_B_Lawfirms","Corporate Law Department; Big Law Firm","Drafting Squad","All","All","New - Not yet discussed","3","","","2025-10-15","2026-02-02","Negative","","","true","false"
"96","The user needs a general workflow to check the different types of documents.","General Feedback","User Interview","202510-Canvas-Interview","Corporate Law Department","","Templates;Workflows","All","New - Not yet discussed","1","""Aber ja kommt wie gesagt auf Vertrag an ich hab ein prompt ein Template hinterlegt, das mehr oder weniger lautet fass mir den Vertrag zusammen erklär mir jede einzelne Klausel hebe hervor, wenn es nachteilig für mich ist, also völlig unabhängig von der Vertragsart funktioniert auch schon ganz passabel.""","","2025-10-15","2026-02-02","Negative","","","true","true"
"97","The user needs the AI to support him to be quicker with their task.","General Feedback","Direct Feedback","2025_10_Beck_Feedback_Survey","Mixed","","","All","Well done - positive feedback outweighs negative","12","","","2025-10-15","2026-02-02","Negative","Beck Germany","","false","true"
"98","The user needs help in gaining an initial overview of a (complex) topic.","General Feedback","Direct Feedback;Hackathon;Interview Study","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,2025_11_Zalando_Hackathon,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","Mixed; Mixed; Corporate Law Department; Big Law Firm; Corporate Law Department; Big Law Firm","AI Squad","Research","All","Well done - positive feedback outweighs negative","21","“Man muss nur noch 1 Minute für den Prompt investieren und hat dann schon, was man erstmal braucht.”","","2025-10-15","2026-02-17","Negative","Beck Germany","","false","false"
"99","The user needs a clear structure of answers in order to easily understand it.","General Feedback","Direct Feedback;Interview Study","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","Mixed; Mixed; Big Law Firm; Corporate Law Department; Big Law Firm","AI Squad;Platform Squad","Research","All","Well done - positive feedback outweighs negative","37","","5 participant mentions lacking structure
","2025-10-15","2026-02-02","Negative","Beck Germany","","false","false"
"101","The user needs the system to provide answers in appropriate language.","General Feedback","Direct Feedback;Hackathon;Interview Study","2025_10_Beck_Feedback_Survey,2025_11_Zalando_Hackathon,Continous_Direct_Feedback_small_law_firm,Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms","Mixed; Corporate Law Department; Small Law Firm; Big Law Firm; Big Law Firm","","","All","Identified - JIRA ticket exists","13","","","2025-10-15","2026-02-02","Negative","Beck Germany","","false","true"
"102","The user needs the answers to have a high accuracy to be beneficial to him.","General Feedback","Direct Feedback;Hackathon","2025_10_Beck_Feedback_Survey,2025_11_Zalando_Hackathon,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_GovernmentInstitutions,Continous_Direct_Feedback_Prosecution_Judges,Publisher Feedback - Swiss,Publisher Feedback - Beck Germany","Mixed; Corporate Law Department; Big Law Firm; Government Institutions; Prosecution/ Judges; Publisher","AI Squad","Knowledge Base;Sources;Citations","All","Identified - JIRA ticket exists","61","Grds. sind wir von der KI angetan. Man bekommt im Researchbereich Antworten, die juristisch auf viel hoeherem Niveau als bei Konkurrenten sein duerften. ... Teilweise fantasieren die Antworten aber ziemlich. | Partially materially incorrect statements (e.g. Remark is incorrectly located in section III of the land register; GbR-Register requirement for easements unknown; Declaration of equal priority protects against foreclosure)","In Beck Survey before agentic release
20 say its good
39 say it needs improvement

In Beck Survey after agentic release
13 say its good
22 say it needs improvement

67 (bad) - 34 (good) = 32

Accuracy after release: 
2 good 9 bad","2025-10-15","2026-05-01","Negative","Beck Germany","CS-1073; CS-1074; CS-1075; CS-1076; CS-1077; CS-1078; CS-1079; CS-1080; CS-1081; CS-1082; CS-1083; CS-1084; CS-1085; CS-1086; CS-1087; CS-1088; CS-1089; CS-1090; CS-1091; CS-1092; CS-1106; CS-1107","false","true"
"103","The users need to have a reliable data base as the source of the answers.","General Feedback","Direct Feedback;Interview Study","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_GovernmentInstitutions,2025_11_Personas_M_B_Lawfirms,Bayrische_Landesbank_042026","Mixed; Mixed; Corporate Law Department; Big Law Firm; Government Institutions; Big Law Firm","AI Squad","Citations","All","Well done - positive feedback outweighs negative","63","","","2025-10-15","2026-04-23","Positive","Beck Germany","","false","false"
"104","The user wants to be able to work with their own (existing) documents.","General Feedback","Direct Feedback","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2","Mixed; Mixed","","","All","Well done - positive feedback outweighs negative","5","","","2025-10-15","2026-02-02","Negative","Beck Germany","","false","true"
"105","The user needs to be able to get a summary in order to get a quick overview.","General Feedback","Direct Feedback;Interview Study;Usability Testing","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,202510-Canvas-Interview_Testing,2026_03_Personas_Judiciary,2026_02_Personas_Corporate","Mixed; Mixed; Mixed; Prosecution/ Judges; Corporate Law Department","","","All","Well done - positive feedback outweighs negative","9","""Click on a case, 'give me a quick overview of the facts and dispute' - that would be great before reading 180 pages"" (Judiciary Personas)
""I get an email with 20 attachments and I'm supposed to fish out the facts - I'd love a chronological fact summary"" (Corporate Personas)","","2025-10-15","2026-05-01","Negative","Beck Germany","","false","true"
"106","Language settings in the app- currently, it is not possible to set up the language of the app in Noxtua. It is set by the browser language.","Missing Feature","Direct Feedback","Continous_Direct_Feedback_corporate","Corporate Law Department","","","All","New - Not yet discussed","1","","","2025-10-15","2026-02-02","Negative","","","true","true"
"107","Customer would like to have an option to upload a files bigger than 10 MB","Improvement","Direct Feedback","Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,Publisher Feedback - Beck Germany","Corporate Law Department; Big Law Firm; Publisher","Platform Squad","Document Upload","All","Identified - JIRA ticket exists","8","I’m currently using CoPilot. It can evaluate the document and help me compile the information for third-party procurement management. Unfortunately, I don’t have a PDF smaller than 10 MB available for Noxtua that I could meaningfully analyze. Therefore, I won’t be continuing this topic with Noxtua’s AI; I simply don’t have the time.” || Grds. sind wir von der KI angetan. Man bekommt im Researchbereich Antworten, die juristisch auf viel höherem Niveau als bei Konkurrenten sein dürften. Das ist sicherlich mit dem Zugriff auf Ihre Datenbank ein USP. Teilweise fantasieren die Antworten aber ziemlich.","","2025-10-15","2026-04-30","Negative","","CS-1107","false","false"
"108","The user expects to get (in itself and for the same request) consistent answers.","General Feedback","Direct Feedback","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Sparkasse_2026_04","Mixed; Mixed","AI Squad","","All","Identified - JIRA ticket exists","8","","","2025-10-15","2026-04-23","Negative","Beck Germany","","false","true"
"109","The user needs all relevant sources to be available and used for the answer.","General Feedback","Direct Feedback;Interview Study","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","Mixed; Mixed; Corporate Law Department; Big Law Firm","AI Squad","all","All","Identified - JIRA ticket exists","15","","","2025-10-15","2026-03-16","Negative","Beck Germany","","false","false"
"110","The user needs to get feedback regarding the completion of the file upload.","Improvement","Direct Feedback","2025_10_Beck_Feedback_Survey","Mixed","Design;Platform Squad","Document Upload","All","Planned for development","5","""Teilweise erfolgt gar keine Rückmeldung. Man kann dann nur vermuten, dass die hochgeladene Datei wohl zu groß war. ""","","2025-10-15","2026-03-23","Negative","Beck Germany","","false","false"
"111","The user expects the answer to be updated with the information from follow-up prompting instead of just appending it at the end.","Improvement","Direct Feedback","2025_10_Beck_Feedback_Survey","Mixed","AI Squad","","All","New - Not yet discussed","1","","","2025-10-15","2026-02-02","Negative","Beck Germany","","true","true"
"112","The user doesn't want to see the interim results but only the final result.","General Feedback","Direct Feedback","2025_10_Beck_Feedback_Survey","Mixed","","","All","New - Not yet discussed","1","""Was mir nicht gefällt ist, dass beim generieren des Ergebnisses bereits Textbausteine angezeigt werden. Ich fände es besser, wenn erst ein Text angezeigt wird, wenn das finale Ergebnis feststeht.""","","2025-10-15","2026-02-02","Negative","Beck Germany","","true","true"
"113","The user needs the most recent version of a source to be used instead of an outdated version.","General Feedback","Direct Feedback","2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_small_law_firm,Continous_Direct_Feedback_GovernmentInstitutions,Bayrische_Landesbank_042026","Mixed; Mixed; Small Law Firm; Government Institutions","AI Squad","","All","Identified - JIRA ticket exists","16"," | Recent case law even BGH partly not known (written form for rental agreements)","","2025-10-15","2026-04-23","Negative","Beck Germany","","false","true"
"114","The user needs to be able to compare different legislations easily.","Idea","Direct Feedback;Interview Study","2025_10_Beck_Feedback_Survey,2026_02_Personas_Corporate","Mixed; Corporate Law Department","","Document Review","All","New - Not yet discussed","2","""Automated evaluation of how old laws match the wording of the new one"" (Corporate Personas)","","2025-10-15","2026-05-01","Mixed","Beck Germany","","true","true"
"115","The user needs to be able to continue the chat even after longer times of inactivity.","General Feedback","Direct Feedback","2025_10_Beck_Feedback_Survey","Mixed","","","All","New - Not yet discussed","3"," | Chats are deleted after 2 weeks; The content of an open chat and previously uploaded files may be lost after a longer period of inactivity","","2025-10-15","2026-02-02","Negative","Beck Germany","","true","true"
"116","The user needs guidance in case of occuring errors in order to be able to understand what is going wrong.","Improvement","Direct Feedback;Hackathon;Interview Study;Usability Testing","2025_10_Beck_Feedback_Survey,202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,2025_11_Zalando_Hackathon,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_corporate","Mixed; Mixed; Big Law Firm; Corporate Law Department; Big Law Firm; Corporate Law Department","Platform Squad","Error Handling","All","Identified - JIRA ticket exists","13","","","2025-10-15","2026-02-17","Negative","Beck Germany","","false","false"
"118","The user would like to be informed by AI immediately about the most recent versions of regulations and not upon another prompt/request.","Improvement","Direct Feedback","Continous_Direct_Feedback_corporate","Corporate Law Department","AI Squad","Research","All","New - Not yet discussed","3","Ich konnte auch aufklären, was es mit § 16 Abs. 1 Nr. VgV auf sich hatte. Es handelt sich um eine veraltete Fassung der Verordnung. Noxtua hat hier 2 kleine Entscheidungen aus 2008 gefunden, in der diese Norm rezitiert wurde und ist davon ausgegangen, dass es sich um die relevante Fassung handelt. Auf Nachfrage stellt die KI jedoch fest, dass es aktuellere Gesetzesfassungen gibt (Dies sollte meines Erachtens jedoch sofort geschehen). ","","2025-10-16","2026-02-02","Negative","","","true","false"
