legacy_id,insight_type,status,country,sentiment,insight,mentions,source,jira_tickets,notes,is_new,unclassified,created_at,modified_at
164,Missing Feature,Identified - JIRA ticket exists,All,Negative,The users expect the tool to offer a collaborative environment in which they can comment and work at the same time  in order to exchange with colleagues.,13,"202510-Canvas-Interview_Testing,202510-Canvas-Interview,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-11-04,2026-04-13
83,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user needs to be able to generate customized workflows in order to handle complex tasks.,13,"Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions","","",f,f,2025-10-14,2026-02-02
101,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs the system to provide answers in appropriate language.,13,"2025_10_Beck_Feedback_Survey,2025_11_Zalando_Hackathon,Continous_Direct_Feedback_small_law_firm,Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms","","",f,t,2025-10-15,2026-02-02
136,Missing Feature,Implemented - a solution is released,All,Negative,Users want to be able to ask questions to specific sections & prompt changes based on specific sections.,12,202510-Canvas-Interview_Testing,"","",f,f,2025-11-04,2026-02-02
342,Missing Feature,Identified - JIRA ticket exists,All,Negative,The users would like to be able to seamlessly use the tool with their file management system.,12,"2025_11_Personas_M_B_Lawfirms,2026_02_Personas_Corporate,2026_03_Personas_Judiciary","","",f,f,2026-01-28,2026-05-01
97,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The user needs the AI to support him to be quicker with their task.,12,2025_10_Beck_Feedback_Survey,"","",f,t,2025-10-15,2026-02-02
41,Missing Feature,Planned for development,All,Negative,The user needs support in writing successful prompts.,10,"Continous_Direct_Feedback_corporate,202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-10-08,2026-02-12
150,Missing Feature,Identified - JIRA ticket exists,All,Negative,"The users wish to store their own standard snippets (clauses, as a “Baukasten”) that can be accessed through the system.",10,"202510-Canvas-Interview_Testing,2025_12_KnowledgeBase_UCs_Interviews","","",f,f,2025-11-04,2026-02-02
232,General Feedback,Well done - positive feedback outweighs negative,All,Negative,"The user needs the tool to comply with data security measures necessary for the data that they work with and to comply with their ""Berufsrecht"".",10,"Continous_Direct_Feedback_big_law_firm,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_Prosecution_Judges","","",f,t,2025-11-30,2026-04-17
156,General Feedback,Well done - positive feedback outweighs negative,All,Positive,"The Canvas interface is described as intuitive, with a layout and button design similar to familiar document processing tools.",10,202510-Canvas-Interview_Testing,"","",f,f,2025-11-04,2026-02-02
105,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The user needs to be able to get a summary in order to get a quick overview.,9,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,202510-Canvas-Interview_Testing,2026_03_Personas_Judiciary,2026_02_Personas_Corporate","","",f,t,2025-10-15,2026-05-01
75,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user needs to be able to customize the tool to fit to their individual or company internal policies or preferences.,9,"Continous_Direct_Feedback_corporate,202510-Canvas-Interview_Testing,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-10-13,2026-02-02
315,General Feedback,Identified - JIRA ticket exists,All,Negative,"The users would like to be able to use old files, that can be accessed to draft documents.",9,"202510-Canvas-Interview_Testing,2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_12_KnowledgeBase_UCs_Interviews,2025_11_Personas_M_B_Lawfirms","","",f,f,2026-01-28,2026-02-02
78,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user would like to be able to see exactly from which part of a source the model derived the answer.,9,"Continous_Direct_Feedback_big_law_firm,2026_01_Workflow_Expectations_Interview,2025_12_KnowledgeBase_UCs_Interviews,Continous_Publisher_Swiss_Noxtua","",Study to be planned,f,f,2025-10-14,2026-04-17
252,Improvement,Implemented - a solution is released,All,Negative,The user needs the AI to seamlessly integrate into word by inserting and prompting directly in the word environment without additional manual effort on their end.,9,"2025_12_Word_Expectations_Usability,Continous_Direct_Feedback_corporate,2026_02_Personas_Corporate","","",f,f,2025-12-17,2026-05-01
108,General Feedback,Identified - JIRA ticket exists,All,Negative,The user expects to get (in itself and for the same request) consistent answers.,8,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2,Sparkasse_2026_04","","",f,t,2025-10-15,2026-04-23
143,Missing Feature,Planned for development,All,Negative,The users would like to be able to store prompts and share with other users for usage.,8,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_Distribution","","",f,f,2025-11-04,2026-03-09
140,Improvement,Implemented - a solution is released,All,Negative,Users expect the Canvas to open automatically when a draft is prompted.,8,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm","","",f,f,2025-11-04,2026-03-16
345,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs to be able to give access to their files on a case-by-case basis in order to ensure control.,8,2025_11_Personas_M_B_Lawfirms,"","",f,f,2026-01-28,2026-04-13
231,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user needs to be able to stop the tool from running in order to correct mistakes.,8,"Continous_Direct_Feedback_corporate,Continous_Publisher_Manz_Noxtua,Continous_Publisher_Swiss_Noxtua,2026_02_Personas_Corporate","","",f,t,2025-11-20,2026-05-01
214,Improvement,Identified - JIRA ticket exists,All,Negative,"The user needs the system to stick with one language within a chat (unless prompted otherwise), in order to reduce mental load and needing to translate.",8,"2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,2025_11_Zalando_Hackathon,Continous_Direct_Feedback_small_law_firm,Continous_Direct_Feedback_big_law_firm","","",f,f,2025-11-17,2026-04-17
93,General Feedback,Identified - JIRA ticket exists,All,Negative,The less technical-affine user needs to be enabled to use the tool within their known environment.,8,"202510-Canvas-Interview,2025_11_Personas_M_B_Lawfirms","","",f,t,2025-10-15,2026-02-23
107,Improvement,Identified - JIRA ticket exists,All,Negative,Customer would like to have an option to upload a files bigger than 10 MB,8,"Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,Publisher Feedback - Beck Germany",CS-1107,"",f,f,2025-10-15,2026-04-30
331,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs content from the documents within the knowledge base to be used only as reference (not exact matching of phrasing),8,2025_12_KnowledgeBase_UCs_Interviews,"","",f,f,2026-01-28,2026-04-13
389,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The users need a structured way to review multiple documents.,7,"Continous_Direct_Feedback_big_law_firm,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate","","",f,f,2026-03-31,2026-04-17
165,Improvement,Identified - JIRA ticket exists,All,Negative,The users expect the tool to ask questions back if the input provided is ambiguous.,7,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-11-04,2026-03-03
77,Missing Feature,Identified - JIRA ticket exists,All,Negative,The users have different needs for the level of detail of the answer.,7,"Continous_Direct_Feedback_big_law_firm,2025_11_Zalando_Hackathon,2026_02_Personas_Corporate","",Should be looked at holistically as a topic of user/ answer preferences. > should monitored!,f,f,2025-10-14,2026-05-01
309,General Feedback,Identified - JIRA ticket exists,All,Negative,The user wants to be able to store and use word documents within a knowledge base.,7,2025_12_KnowledgeBase_UCs_Interviews,"","",f,f,2026-01-28,2026-02-23
223,Missing Feature,Identified - JIRA ticket exists,All,Negative,The users expect the tool to know who they are or who they work for and consider that for answer generation.,7,"2025_11_Zalando_Hackathon,Continous_Direct_Feedback_corporate,2025_12_KnowledgeBase_UCs_Interviews,2025_12_Word_Expectations_Usability,Continous_Direct_Feedback_GovernmentInstitutions","","",f,f,2025-11-20,2026-04-17
322,General Feedback,Identified - JIRA ticket exists,All,Mixed,The user needs the solution to work really well to be able to let the solution choose relevant documents from within the knowledge base on its own for a case.,7,2025_12_KnowledgeBase_UCs_Interviews,"","",f,f,2026-01-28,2026-04-13
153,Improvement,Identified - JIRA ticket exists,All,Negative,The user needs the tool to differentiate between document content and annotations and only add the content into their document.,7,"202510-Canvas-Interview_Testing,202510-Canvas-Interview","",in case it reaches 15 recheck.,f,f,2025-11-04,2026-02-02
149,Idea,Identified - JIRA ticket exists,All,Mixed,User want a customizable layout in order to not need multiple displays when interacting with the tool.,7,202510-Canvas-Interview_Testing,"","in case this reaches 15 people, we should recheck this.

Starting with optimizing in Editor Context",f,f,2025-11-04,2026-03-03
330,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs content from the documents within the knowledge base to be cited precisely word by word.,7,2025_12_KnowledgeBase_UCs_Interviews,"","",f,f,2026-01-28,2026-04-13
146,General Feedback,Well done - positive feedback outweighs negative,All,Positive,The users appreciate that the export keeps the tracked changes just like in word.,7,202510-Canvas-Interview_Testing,"","",f,f,2025-11-04,2026-02-02
253,General Feedback,Implemented - a solution is released,All,Negative,The user wants to be able to see the sources of the generated content directly in word in order to have full transparency.,7,2025_12_Word_Expectations_Usability,"","",f,f,2025-12-17,2026-02-02
300,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user needs to be able to share workflows with other users individually.,6,2026_01_Workflow_Expectations_Interview,"","",f,f,2026-01-28,2026-03-09
321,General Feedback,Identified - JIRA ticket exists,All,Negative,The user wants to be able to manually select documents from the knowledge base for a prompt.,6,2025_12_KnowledgeBase_UCs_Interviews,"","",f,f,2026-01-28,2026-04-13
211,Missing Feature,Identified - JIRA ticket exists,All,Negative,The users expect the tool to seamlessly integrate into their current database tools (ie. Excel).,6,"202510-Canvas-Interview_Testing,2025_10_Beck_Feedback_Survey,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","",ro be rediscussed when higher prio topics are done.,f,f,2025-11-17,2026-04-13
346,Missing Feature,Identified - JIRA ticket exists,All,Negative,"The user needs the tool to adjust the output to the purpose that I wanna use it for (e.g. if The user wants to use it in an email, the language and lenght should be adequate).",6,"2025_11_Personas_M_B_Lawfirms,2026_03_Personas_Judiciary","","",f,f,2026-01-28,2026-05-01
255,Improvement,Implemented - a solution is released,All,Negative,"The user expects the tool to directly use the words tracked changes feature, so that they themselves keep the overview of the changes and can send it to other parties.",6,2025_12_Word_Expectations_Usability,"","",f,t,2025-12-17,2026-02-02
256,General Feedback,Implemented - a solution is released,All,Negative,"The users expect by using the word add in that the formatting templates they use and the formatting that the document has is obeyed by the AI when changes and insertions are made, so that they don't have to fix formatting.",6,2025_12_Word_Expectations_Usability,"","",f,f,2025-12-17,2026-03-09
258,General Feedback,Well done - positive feedback outweighs negative,All,Negative,"The users expect the research functionality to be available through the word interface within the word-plug-in, in order to avoid switching touchpoints if they want to research something while working on a document.",6,[],"","",f,f,2025-12-17,2026-02-02
81,General Feedback,Identified - JIRA ticket exists,All,Negative,"The user needs transparency about data security measures to be sure that their data is being treated confidentially and is not distributed, but only locally on their machine.",6,"Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_small_law_firm","","3 People mention in the Beck Feedback Survey, that this is already a good thing. However, in the sales call the user still didn't seem to be sure.

Shared in Marketing, Onepager for Sales is build. Recheck if that reduces uncertainty.",f,f,2025-10-14,2026-02-02
127,Improvement,Identified - JIRA ticket exists,All,Negative,The user expects an easy to understand interface for the Matrix. UX Design of Matrix Analysis- too sparse,6,"2025_10_Beck_Feedback_Survey,Continous_Direct_Feedback_corporate,2025_11_Beck_Feedback_Survey_2","",before Agentic,f,t,2025-10-20,2026-04-13
197,Improvement,Identified - JIRA ticket exists,All,Negative,The users need the reponses to be available within reasonable time.,6,"Continous_Direct_Feedback_big_law_firm,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_GovernmentInstitutions,Bayrische_Landesbank_042026","","",f,f,2025-11-07,2026-04-23
314,General Feedback,Identified - JIRA ticket exists,All,Negative,The user wants to be able to store and use format templates from a knowledge base.,6,"2025_12_KnowledgeBase_UCs_Interviews,2025_11_Beck_Feedback_Survey_2","","",f,f,2026-01-28,2026-04-13
254,Missing Feature,Implemented - a solution is released,All,Negative,The users want to be able to mark sections within a word document and prompt referring only the selected content.,6,2025_12_Word_Expectations_Usability,"","",f,f,2025-12-17,2026-02-02
167,Improvement,Identified - JIRA ticket exists,All,Negative,Users wanna be able to customize the layout particularly for having an Canvas only view.,6,202510-Canvas-Interview_Testing,"","",f,f,2025-11-04,2026-03-03
276,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user needs the tool to use further external data sources.,6,"Continous_Direct_Feedback_big_law_firm,2026_01_Workflow_Expectations_Interview,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_Prosecution_Judges","","",f,f,2026-01-19,2026-04-17
221,General Feedback,Identified - JIRA ticket exists,All,Negative,The user needs legislations of different countries to be used for cases that involve international parties.,5,"2025_11_Zalando_Hackathon,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","","",f,t,2025-11-19,2026-03-09
72,Improvement,New - Not yet discussed,All,Negative,The user needs the tool to also provide them with alternative perspectives not only e.g. with the predominant one.,5,"Continous_Direct_Feedback_corporate,2026_02_Personas_Corporate,2026_03_Personas_Judiciary","","",t,f,2025-10-13,2026-05-01
104,General Feedback,Well done - positive feedback outweighs negative,All,Negative,The user wants to be able to work with their own (existing) documents.,5,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2","","",f,t,2025-10-15,2026-02-02
110,Improvement,Planned for development,All,Negative,The user needs to get feedback regarding the completion of the file upload.,5,2025_10_Beck_Feedback_Survey,"","",f,f,2025-10-15,2026-03-23
122,Improvement,Identified - JIRA ticket exists,All,Negative,User wants to chat with the Matrix,5,"Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2026_Feedback_Survey_3","","",f,t,2025-10-20,2026-04-20
126,General Feedback,Well done - positive feedback outweighs negative,All,Negative,Speed and efficiency of matrix analysis: evaluation of large amounts of data simultaneously,5,2025_10_Beck_Feedback_Survey,"","",f,t,2025-10-20,2026-02-02
132,General Feedback,Identified - JIRA ticket exists,All,Negative,User wants higher recognition rate of relevant information,5,"2025_10_Beck_Feedback_Survey,2025_11_Beck_Feedback_Survey_2","",preAgentic,f,t,2025-10-20,2026-04-13
133,Missing Feature,New - Not yet discussed,All,Negative,The user wants to be able to set up a workflow that compares a document in the Canvas with an uploaded document and trigger changes so that both of them are matching.,5,"Continous_Direct_Feedback_corporate,2026_02_Personas_Corporate","","",t,f,2025-10-24,2026-05-01
203,Missing Feature,Identified - JIRA ticket exists,All,Negative,"The users want to be able to filter the sources used for their answer generation, in order to remove non relevant sources from consideration.",5,"Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions","","",f,f,2025-11-07,2026-03-09
204,Missing Feature,New - Not yet discussed,All,Negative,The user wants to be able to customize they way of working of the system more to their needs.,5,"202510-Canvas-Interview_Testing,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_GovernmentInstitutions,Continous_Direct_Feedback_corporate","","",t,f,2025-11-07,2026-04-17
208,Improvement,Identified - JIRA ticket exists,All,Negative,The user wants to be able to upload more than 10 files in order to compare more files into one table or use them as input.,5,"2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate","","",f,f,2025-11-12,2026-04-20
228,Missing Feature,Implemented - a solution is released,All,Negative,The users need more onboarding on how to prompt best.,5,"Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms","","",f,f,2025-11-20,2026-03-23
268,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user expects the tool to adjust the drafting to individual style and preferences.,5,2025_11_Personas_M_B_Lawfirms,"",Personlization as holistic topic should be looked into. ,f,f,2025-12-17,2026-04-20
271,Improvement,Implemented - a solution is released,All,Negative,The user expects a clear distinction between thinking process and content output in order to navigate the result.,5,"Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_corporate,Continous_Publisher_Manz_Noxtua","","",f,f,2026-01-02,2026-03-16
310,General Feedback,Identified - JIRA ticket exists,All,Negative,The user wants to be able to store and use PDF documents within a knowledge base.,5,2025_12_KnowledgeBase_UCs_Interviews,"","",f,f,2026-01-28,2026-04-20
358,General Feedback,Planned for development,All,Negative,The user needs to be able to do legal research directly in the word-add-in in order to avoid switching between tools.,5,2025_12_Word_Expectations_Usability,"","",f,f,2026-02-02,2026-02-02
361,Missing Feature,New - Not yet discussed,All,Negative,The user would like to be able to search through the chat to find information in older chats efficiently.,5,Continous_Direct_Feedback_big_law_firm,"","",t,f,2026-02-03,2026-02-03
281,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user would like to be able to create workflows in cooperation with the tool  by e.g. prompting an intial workflow that is set up by the tool.,5,2026_01_Workflow_Expectations_Interview,"","",f,f,2026-01-28,2026-04-13
301,General Feedback,Identified - JIRA ticket exists,All,Negative,"The user needs to be able to share workflows/ templates with certain user groups (e.g. department, legal area).",5,"2026_01_Workflow_Expectations_Interview,Continous_Direct_Feedback_corporate","","",f,f,2026-01-28,2026-04-20
304,Missing Feature,Identified - JIRA ticket exists,All,Negative,"The user needs to be able to collaborate within workflows, i.e. not only one person can give input/ review steps in the workflow.",5,"2026_01_Workflow_Expectations_Interview,2026_02_Personas_Corporate","","",t,f,2026-01-28,2026-05-01
280,Missing Feature,Identified - JIRA ticket exists,All,Negative,The user would like to be able to assign specific documents to a workflow/ step within a workflow.,5,"2026_01_Workflow_Expectations_Interview,2025_12_KnowledgeBase_UCs_Interviews","","",f,f,2026-01-28,2026-04-13
