board,post_title,post_url,post_id,upvotes,created,insight_id_on_post,problem,last_seen_in,last_known_status,would_have_qualified
Feature Request,The user needs to be able to duplicate an existing Matrix Analysis.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-duplicate-an-existing,6a6ccbaaae4aea0e96df3cf5,2,2026-07-31,515,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,The user needs to be able to duplicate existing templates for reuse in similar use cases with slight variations.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-duplicate-existing-templates,6a6ccba195b6184de99d85a7,2,2026-07-31,511,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,The user needs to be able to resize Matrix Analysis column widths.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-resize-matrix-analysis,6a6ccba3d361a8379e293724,2,2026-07-31,512,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,The user needs to have document citations for relevant passages not for the full document only.,https://noxtua.featurebase.app/p/the-user-needs-to-have-document-citations-for-relevant-passages,6a6ccbbf84800d6b14f4c105,2,2026-07-31,525,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,"Date/deadline calculations are almost always wrong when reference dates are entered (weekdays, week-based deadlines).",https://noxtua.featurebase.app/p/datedeadline-calculations-are-almost-always-wrong-when-reference-dates-are,6a6ccb98ae4aea0e96ded353,2,2026-07-31,506,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,Marginal numbers (Randziffern) in responses are often too long to be usable.,https://noxtua.featurebase.app/p/marginal-numbers-randziffern-in-responses-are-often-too-long-to,6a6ccb9a93655bd982b3c3ad,2,2026-07-31,507,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,No jump to the end of the chat when closing a table,https://noxtua.featurebase.app/p/no-jump-to-the-end-of-the-chat-when-closing,6a7cced1972568dea580fdf7,1,2026-08-12,,no Insight ID set,,,no
Feedback,RVG and court-cost calculations are wildly wrong — amounts are not correctly taken from the tables.,https://noxtua.featurebase.app/p/rvg-and-court-cost-calculations-are-wildly-wrong-amounts-are,6a6ccb9694e73d44a21582ce,2,2026-07-31,505,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,Required user input is not visible when applying a template — the user must click 'edit' to see it.,https://noxtua.featurebase.app/p/required-user-input-is-not-visible-when-applying-a-template,6a6ccb9484800d6b14f310f7,2,2026-07-31,504,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,The user expects the tool to adhere to his instructions (e.g. limitations to sources of interest).,https://noxtua.featurebase.app/p/the-user-expects-the-tool-to-adhere-to-his-instructions,6a6ccbae8a3d03519fef713d,2,2026-07-31,517,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,"The user needs a single, unambiguous login entry point instead of two confusing options (publisher portal vs. direct app link).",https://noxtua.featurebase.app/p/the-user-needs-a-single-unambiguous-login-entry-point-instead,6a6ccbbdd361a8379e2a5af8,2,2026-07-31,524,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,"The user needs an ""Artefakte"" section that surfaces uploaded documents alongside citations, and eventually the playbook used.",https://noxtua.featurebase.app/p/the-user-needs-an-artefakte-section-that-surfaces-uploaded-documents,6a6ccbb14ee14d9752f86c69,2,2026-07-31,518,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,The user needs an option to prevent accidental message submission when pressing Enter.,https://noxtua.featurebase.app/p/the-user-needs-an-option-to-prevent-accidental-message-submission,6a6ccbc195b6184de99e94fa,2,2026-07-31,526,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,"The user needs the tool to not be influenced by an arguing user unless the tool actually uncovers new information in the system, that changes the result.",https://noxtua.featurebase.app/p/the-user-needs-the-tool-to-not-be-influenced-by,6a6ccb9c93655bd982b3e122,2,2026-07-31,509,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,The user needs transparency on how to add user input to a template.,https://noxtua.featurebase.app/p/the-user-needs-transparency-on-how-to-add-user-input,6a6ccbc38a3d03519fefc765,2,2026-07-31,527,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,The user needs voice input for long transcription of dictated text or meetings.,https://noxtua.featurebase.app/p/the-user-needs-voice-input-for-long-transcription-of-dictated,6a6ccbb34ee14d9752f88524,2,2026-07-31,519,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feedback,"User-input instructions are not displayed for file inputs, even when essential.",https://noxtua.featurebase.app/p/user-input-instructions-are-not-displayed-for-file-inputs-even,6a6ccb9194e73d44a215110a,2,2026-07-31,503,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Product,Clear user-facing error handling,https://noxtua.featurebase.app/p/the-user-needs-guidance-in-case-of-occuring-errors-in,6a5a73d067c5c6a11aacceea,16,2026-07-17,,no Insight ID set,,,no
Product,Make Template User Input Optional,https://noxtua.featurebase.app/p/make-template-user-input-optional,6a5e1bafc9a5d459aeb03edc,1,2026-07-20,,no Insight ID set,,,no
Product,Template Organisation,https://noxtua.featurebase.app/p/template-organisation,6a5e1b4e9efb5cbda845b993,1,2026-07-20,,no Insight ID set,,,no
Product,Voice Input for Prompting,https://noxtua.featurebase.app/p/voice-input-for-prompting,6a5a689ab26c313c254f6005,15,2026-07-17,,no Insight ID set,,,no
