source_response_id,version_key,segment,submitted_at,csat_overall,nps_score,ueq_ease_of_use,ueq_transparency,ueq_answer_quality,ueq_system_trust,ux_ease_of_learning,ux_discoverability,ux_design,ux_intuitiveness,csat_workflow_integration
36,v1_CSM,CSM,2025-09-12 05:24:53+00,4.0,3.0,4.0,5.0,7.0,8.0,10.0,10.0,9.0,9.0,
37,v1_CSM,CSM,2025-09-12 06:14:21+00,8.0,8.0,8.0,6.0,5.0,9.0,10.0,8.0,8.0,9.0,
38,v1_CSM,CSM,2025-09-15 02:33:52+00,4.0,8.0,5.0,3.0,5.0,4.0,7.0,5.0,3.0,6.0,
39,v1_CSM,CSM,2025-09-15 04:27:22+00,5.0,4.0,5.0,5.0,5.0,5.0,7.0,5.0,7.0,7.0,
40,v1_CSM,CSM,2025-09-15 04:38:58+00,5.0,4.0,5.0,3.0,1.0,4.0,9.0,6.0,3.0,5.0,
41,v1_CSM,CSM,2025-09-15 04:50:53+00,2.0,1.0,2.0,2.0,3.0,3.0,7.0,7.0,3.0,6.0,
42,v1_CSM,CSM,2025-09-15 05:35:11+00,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,
43,v1_CSM,CSM,2025-09-15 06:37:43+00,3.0,,2.0,2.0,,,9.0,9.0,7.0,9.0,
44,v1_CSM,CSM,2025-09-15 07:59:15+00,7.0,9.0,5.0,4.0,7.0,8.0,8.0,7.0,6.0,8.0,
45,v1_CSM,CSM,2025-09-15 08:11:11+00,9.0,9.0,8.0,5.0,9.0,9.0,9.0,6.0,6.0,7.0,
46,v1_CSM,CSM,2025-09-15 08:24:09+00,7.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,
47,v1_CSM,CSM,2025-09-16 02:37:05+00,3.0,3.0,3.0,6.0,7.0,6.0,9.0,8.0,8.0,9.0,
48,v1_CSM,CSM,2025-09-16 03:06:00+00,2.0,2.0,5.0,5.0,3.0,6.0,10.0,10.0,8.0,10.0,
49,v1_CSM,CSM,2025-09-16 05:15:33+00,6.0,6.0,6.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,
50,v1_CSM,CSM,2025-09-16 06:00:36+00,3.0,4.0,4.0,2.0,,4.0,10.0,,7.0,10.0,
51,v1_CSM,CSM,2025-09-16 06:24:04+00,8.0,10.0,8.0,8.0,6.0,7.0,10.0,10.0,8.0,9.0,
52,v1_CSM,CSM,2025-09-16 06:59:24+00,4.0,5.0,4.0,5.0,9.0,9.0,9.0,9.0,8.0,9.0,
53,v1_CSM,CSM,2025-09-16 07:33:54+00,8.0,9.0,8.0,4.0,5.0,7.0,10.0,8.0,8.0,9.0,
54,v1_CSM,CSM,2025-09-17 00:38:29+00,4.0,6.0,4.0,4.0,4.0,3.0,8.0,8.0,7.0,7.0,
55,v1_CSM,CSM,2025-09-17 06:55:05+00,4.0,5.0,4.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,
56,v1_CSM,CSM,2025-09-22 07:06:24+00,8.0,8.0,9.0,6.0,6.0,6.0,10.0,8.0,8.0,8.0,
57,v1_CSM,CSM,2025-09-22 09:01:01+00,3.0,4.0,3.0,3.0,6.0,3.0,7.0,6.0,7.0,6.0,
58,v1_CSM,CSM,2025-09-24 10:05:15+00,2.0,8.0,2.0,3.0,2.0,2.0,8.0,6.0,8.0,7.0,
59,v1_CSM,CSM,2025-09-25 04:15:39+00,6.0,2.0,5.0,4.0,6.0,6.0,8.0,6.0,8.0,8.0,
60,v1_CSM,CSM,2025-09-26 01:27:00+00,10.0,8.0,10.0,,,,5.0,6.0,7.0,6.0,
61,v1_CSM,CSM,2025-09-26 02:26:15+00,8.0,9.0,6.0,9.0,9.0,7.0,8.0,9.0,7.0,9.0,
62,v1_CSM,CSM,2025-09-26 03:13:36+00,7.0,10.0,,7.0,9.0,7.0,8.0,8.0,9.0,9.0,
63,v1_CSM,CSM,2025-09-26 08:09:05+00,7.0,8.0,7.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,
64,v1_CSM,CSM,2025-09-29 01:28:03+00,7.0,8.0,7.0,2.0,2.0,3.0,6.0,5.0,4.0,4.0,
65,v1_CSM,CSM,2025-09-29 03:25:28+00,3.0,5.0,3.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,
66,v1_CSM,CSM,2025-09-29 03:35:40+00,9.0,10.0,9.0,7.0,8.0,10.0,8.0,9.0,9.0,10.0,
67,v1_CSM,CSM,2025-09-29 06:12:54+00,7.0,9.0,7.0,5.0,7.0,8.0,8.0,7.0,8.0,9.0,
68,v1_CSM,CSM,2025-09-29 07:11:41+00,7.0,8.0,8.0,6.0,,8.0,9.0,8.0,8.0,9.0,
69,v1_CSM,CSM,2025-09-29 09:14:06+00,3.0,3.0,4.0,4.0,7.0,7.0,8.0,6.0,7.0,7.0,
70,v1_CSM,CSM,2025-09-29 23:38:03+00,4.0,4.0,3.0,5.0,,5.0,7.0,,7.0,7.0,
71,v1_CSM,CSM,2025-09-30 04:41:37+00,8.0,8.0,7.0,5.0,4.0,8.0,8.0,4.0,8.0,9.0,
72,v1_CSM,CSM,2025-09-30 23:21:37+00,6.0,5.0,6.0,3.0,7.0,5.0,8.0,8.0,10.0,10.0,
73,v1_CSM,CSM,2025-10-01 02:11:27+00,6.0,8.0,7.0,5.0,8.0,6.0,8.0,7.0,8.0,8.0,
74,v1_CSM,CSM,2025-10-01 10:14:15+00,7.0,7.0,7.0,4.0,6.0,6.0,8.0,8.0,6.0,7.0,
75,v1_CSM,CSM,2025-10-02 04:29:42+00,5.0,3.0,5.0,5.0,5.0,8.0,6.0,6.0,6.0,6.0,
76,v1_CSM,CSM,2025-10-06 01:13:37+00,9.0,10.0,10.0,8.0,10.0,10.0,10.0,5.0,10.0,10.0,
77,v1_CSM,CSM,2025-10-06 01:30:11+00,7.0,7.0,7.0,5.0,7.0,8.0,9.0,9.0,3.0,7.0,
78,v1_CSM,CSM,2025-10-06 02:08:57+00,8.0,9.0,3.0,3.0,5.0,5.0,10.0,10.0,8.0,10.0,
79,v1_CSM,CSM,2025-10-06 02:24:14+00,7.0,7.0,7.0,7.0,6.0,6.0,10.0,10.0,10.0,10.0,
80,v1_CSM,CSM,2025-10-06 02:37:40+00,8.0,8.0,7.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,
81,v1_CSM,CSM,2025-10-06 03:01:50+00,7.0,10.0,8.0,6.0,7.0,9.0,10.0,8.0,10.0,10.0,
82,v1_CSM,CSM,2025-10-06 03:46:21+00,7.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,
83,v1_CSM,CSM,2025-10-06 07:06:30+00,10.0,10.0,9.0,2.0,3.0,9.0,8.0,4.0,5.0,8.0,
84,v1_CSM,CSM,2025-10-06 07:09:40+00,6.0,6.0,6.0,7.0,7.0,8.0,,,,,
85,v1_CSM,CSM,2025-10-07 00:12:39+00,10.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,
86,v1_CSM,CSM,2025-10-07 01:50:15+00,7.0,7.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
87,v1_CSM,CSM,2025-10-07 02:15:46+00,9.0,9.0,8.0,7.0,7.0,8.0,10.0,9.0,7.0,8.0,
88,v1_CSM,CSM,2025-10-08 02:30:44+00,9.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,
89,v1_CSM,CSM,2025-10-09 02:51:02+00,4.0,2.0,2.0,3.0,9.0,9.0,10.0,9.0,10.0,10.0,
90,v1_CSM,CSM,2025-10-09 04:53:10+00,8.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,
91,v1_CSM,CSM,2025-10-09 05:00:34+00,4.0,5.0,4.0,8.0,8.0,8.0,4.0,6.0,9.0,6.0,
92,v1_CSM,CSM,2025-10-10 05:56:54+00,7.0,8.0,7.0,6.0,8.0,8.0,9.0,7.0,7.0,8.0,
93,v1_CSM,CSM,2025-10-10 07:14:53+00,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
94,v1_CSM,CSM,2025-10-10 08:29:07+00,5.0,5.0,3.0,8.0,8.0,8.0,10.0,10.0,7.0,9.0,
95,v1_CSM,CSM,2025-10-10 08:49:16+00,5.0,6.0,5.0,4.0,6.0,4.0,9.0,9.0,8.0,8.0,
96,v1_CSM,CSM,2025-10-13 02:01:59+00,6.0,4.0,5.0,7.0,6.0,6.0,7.0,6.0,5.0,5.0,
97,v1_CSM,CSM,2025-10-13 02:13:27+00,6.0,7.0,5.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,
98,v1_CSM,CSM,2025-10-13 05:14:31+00,3.0,2.0,2.0,8.0,9.0,2.0,8.0,5.0,8.0,8.0,
99,v1_CSM,CSM,2025-10-13 05:31:59+00,5.0,5.0,5.0,2.0,6.0,7.0,7.0,5.0,7.0,6.0,
100,v1_CSM,CSM,2025-10-13 05:35:20+00,6.0,6.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,
101,v1_CSM,CSM,2025-10-13 06:58:23+00,7.0,5.0,5.0,6.0,6.0,9.0,8.0,,8.0,7.0,
102,v1_CSM,CSM,2025-10-13 07:37:24+00,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,
103,v1_CSM,CSM,2025-10-13 09:08:59+00,5.0,5.0,7.0,4.0,5.0,6.0,8.0,4.0,5.0,8.0,
104,v1_CSM,CSM,2025-10-13 09:54:55+00,4.0,4.0,2.0,4.0,6.0,5.0,9.0,9.0,8.0,8.0,
105,v1_CSM,CSM,2025-10-14 06:22:03+00,6.0,6.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,6.0,
106,v1_CSM,CSM,2025-10-14 06:44:22+00,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,
1,v2_CSM,CSM,2025-10-18 05:05:41+00,7.0,,7.0,7.0,6.0,8.0,9.0,9.0,8.0,2.0,
2,v2_CSM,CSM,2025-10-20 02:31:47+00,,,,,,,10.0,10.0,6.0,9.0,
3,v2_CSM,CSM,2025-10-20 02:32:37+00,,,,,,,,,,,
4,v2_CSM,CSM,2025-10-20 03:01:40+00,,,,,,,9.0,9.0,9.0,9.0,
5,v2_CSM,CSM,2025-10-20 04:38:24+00,,,,,,,,,,,
6,v2_CSM,CSM,2025-10-20 04:47:49+00,,,,,,,9.0,9.0,8.0,8.0,
7,v2_CSM,CSM,2025-10-20 05:46:15+00,,,,,,,,,,,
8,v2_CSM,CSM,2025-10-22 05:24:20+00,,,,,,,,,,,
9,v2_CSM,CSM,2025-10-23 01:45:26+00,,,,,,,9.0,8.0,8.0,9.0,
10,v2_CSM,CSM,2025-10-23 02:19:54+00,,,,,,,9.0,9.0,9.0,9.0,
11,v2_CSM,CSM,2025-10-23 02:31:03+00,,,,,,,9.0,9.0,8.0,8.0,
12,v2_CSM,CSM,2025-10-23 04:10:13+00,,,,,,,,,,,
13,v2_CSM,CSM,2025-10-23 05:41:07+00,,,,,,,,,,,
14,v2_CSM,CSM,2025-10-23 06:02:06+00,,,,,,,,,,,
15,v2_CSM,CSM,2025-10-24 01:44:54+00,7.0,,4.0,5.0,6.0,6.0,9.0,9.0,9.0,8.0,
16,v2_CSM,CSM,2025-10-27 00:09:12+00,8.0,,7.0,9.0,6.0,6.0,9.0,9.0,10.0,8.0,
17,v2_CSM,CSM,2025-10-27 08:20:51+00,,,,,,,9.0,5.0,8.0,8.0,
18,v2_CSM,CSM,2025-10-27 08:38:24+00,9.0,,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,
19,v2_CSM,CSM,2025-10-27 09:10:04+00,10.0,,9.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,
20,v2_CSM,CSM,2025-10-28 01:03:29+00,,,,,,,7.0,5.0,7.0,7.0,
21,v2_CSM,CSM,2025-10-28 02:29:14+00,,,,,,,9.0,6.0,7.0,7.0,
22,v2_CSM,CSM,2025-10-28 09:06:48+00,9.0,,8.0,10.0,9.0,7.0,10.0,10.0,9.0,9.0,
23,v2_CSM,CSM,2025-10-28 23:54:40+00,7.0,,5.0,9.0,7.0,6.0,9.0,6.0,7.0,8.0,
24,v2_CSM,CSM,2025-10-29 04:53:06+00,8.0,,7.0,6.0,7.0,6.0,9.0,8.0,7.0,9.0,
25,v2_CSM,CSM,2025-10-29 05:34:32+00,8.0,,,,,,9.0,9.0,9.0,9.0,
26,v2_CSM,CSM,2025-10-29 05:52:51+00,8.0,,6.0,7.0,7.0,6.0,8.0,6.0,6.0,7.0,
27,v2_CSM,CSM,2025-10-29 08:10:39+00,,,,,,,10.0,10.0,9.0,9.0,
28,v2_CSM,CSM,2025-10-29 12:23:56+00,7.0,,7.0,8.0,5.0,7.0,10.0,10.0,10.0,10.0,
29,v2_CSM,CSM,2025-10-30 03:48:27+00,,,,,,,10.0,10.0,6.0,7.0,
30,v2_CSM,CSM,2025-10-30 05:57:22+00,8.0,,8.0,7.0,6.0,4.0,7.0,7.0,9.0,8.0,
31,v2_CSM,CSM,2025-10-30 05:57:56+00,,,,,,,10.0,9.0,9.0,9.0,
32,v2_CSM,CSM,2025-10-30 08:33:01+00,,,,,,,10.0,8.0,8.0,8.0,
33,v2_CSM,CSM,2025-10-30 08:35:07+00,,,,,,,9.0,9.0,8.0,8.0,
34,v2_CSM,CSM,2025-10-30 08:36:08+00,6.0,,6.0,8.0,6.0,6.0,8.0,8.0,6.0,7.0,
35,v2_CSM,CSM,2025-10-30 08:48:27+00,7.0,,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,
36,v2_CSM,CSM,2025-10-30 09:06:46+00,,,,,,,10.0,10.0,10.0,9.0,
37,v2_CSM,CSM,2025-10-30 10:16:57+00,7.0,,7.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,
38,v2_CSM,CSM,2025-10-30 11:18:30+00,,,,,,,9.0,8.0,6.0,8.0,
39,v2_CSM,CSM,2025-10-30 12:57:14+00,7.0,,6.0,10.0,5.0,6.0,9.0,8.0,7.0,7.0,
40,v2_CSM,CSM,2025-10-31 02:34:35+00,,,7.0,7.0,7.0,7.0,6.0,4.0,5.0,5.0,
41,v2_CSM,CSM,2025-10-31 03:55:35+00,6.0,,7.0,8.0,6.0,4.0,8.0,7.0,7.0,7.0,
42,v2_CSM,CSM,2025-10-31 05:33:36+00,,,,,,,10.0,8.0,6.0,10.0,
43,v2_CSM,CSM,2025-10-31 05:54:32+00,,,,,,,8.0,9.0,8.0,8.0,
44,v2_CSM,CSM,2025-10-31 06:16:45+00,,,,,,,7.0,8.0,6.0,6.0,
45,v2_CSM,CSM,2025-10-31 08:23:33+00,,,,,,,10.0,10.0,10.0,10.0,
46,v2_CSM,CSM,2025-11-03 00:07:15+00,8.0,,9.0,9.0,10.0,9.0,10.0,5.0,5.0,8.0,
47,v2_CSM,CSM,2025-11-03 01:13:56+00,,,,,,,4.0,4.0,4.0,4.0,
48,v2_CSM,CSM,2025-11-03 02:09:32+00,,,,,,,7.0,,6.0,,
49,v2_CSM,CSM,2025-11-03 04:20:16+00,,,,,,,8.0,8.0,7.0,8.0,
50,v2_CSM,CSM,2025-11-03 06:48:26+00,4.0,,6.0,7.0,6.0,4.0,8.0,,8.0,7.0,
51,v2_CSM,CSM,2025-11-03 07:51:19+00,7.0,,8.0,4.0,4.0,8.0,8.0,6.0,6.0,6.0,
52,v2_CSM,CSM,2025-11-04 00:02:21+00,,,,,,,10.0,9.0,7.0,9.0,
53,v2_CSM,CSM,2025-11-04 23:16:14+00,4.0,,4.0,6.0,3.0,3.0,4.0,4.0,3.0,4.0,
54,v2_CSM,CSM,2025-11-05 08:20:06+00,,,,,,,6.0,6.0,5.0,5.0,
55,v2_CSM,CSM,2025-11-06 03:50:05+00,,,,,,,9.0,8.0,9.0,9.0,
56,v2_CSM,CSM,2025-11-06 06:45:47+00,9.0,,7.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,
57,v2_CSM,CSM,2025-11-06 09:33:01+00,6.0,,6.0,7.0,,,7.0,7.0,7.0,7.0,
58,v2_CSM,CSM,2025-11-06 13:03:21+00,,,,,,,9.0,5.0,7.0,8.0,
59,v2_CSM,CSM,2025-11-10 02:50:59+00,,,,,,,8.0,7.0,4.0,8.0,
60,v2_CSM,CSM,2025-11-10 03:06:18+00,,,,,,,7.0,7.0,7.0,7.0,
61,v2_CSM,CSM,2025-11-10 04:49:06+00,7.0,,6.0,5.0,3.0,4.0,8.0,7.0,6.0,8.0,
62,v2_CSM,CSM,2025-11-11 04:35:40+00,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
63,v2_CSM,CSM,2025-11-11 13:39:11+00,8.0,,9.0,10.0,10.0,10.0,9.0,10.0,6.0,9.0,
64,v2_CSM,CSM,2025-11-11 23:59:18+00,,,,,,,8.0,8.0,6.0,7.0,
65,v2_CSM,CSM,2025-11-12 07:07:45+00,,,,,,,9.0,10.0,7.0,10.0,
66,v2_CSM,CSM,2025-11-13 00:44:28+00,6.0,,7.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,
67,v2_CSM,CSM,2025-11-13 00:49:19+00,8.0,,8.0,10.0,10.0,8.0,10.0,10.0,7.0,10.0,
68,v2_CSM,CSM,2025-11-14 02:25:13+00,6.0,,6.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,
69,v2_CSM,CSM,2025-11-14 07:48:25+00,8.0,,7.0,9.0,7.0,8.0,9.0,9.0,7.0,9.0,
70,v2_CSM,CSM,2025-11-17 01:10:50+00,,,,,,,8.0,8.0,6.0,8.0,
71,v2_CSM,CSM,2025-11-18 06:07:31+00,,,,,,,9.0,6.0,7.0,8.0,
72,v2_CSM,CSM,2025-11-18 06:28:44+00,,,,,,,8.0,8.0,6.0,6.0,
73,v2_CSM,CSM,2025-11-18 23:51:15+00,8.0,,5.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,
74,v2_CSM,CSM,2025-11-19 07:52:34+00,,,,,,,7.0,6.0,5.0,,
75,v2_CSM,CSM,2025-11-19 08:32:22+00,5.0,,5.0,5.0,4.0,5.0,8.0,6.0,7.0,7.0,
76,v2_CSM,CSM,2025-11-19 09:00:17+00,9.0,,9.0,9.0,7.0,7.0,8.0,8.0,8.0,9.0,
77,v2_CSM,CSM,2025-11-20 01:22:16+00,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
78,v2_CSM,CSM,2025-11-20 04:40:56+00,7.0,,7.0,7.0,6.0,7.0,10.0,7.0,8.0,10.0,
79,v2_CSM,CSM,2025-11-20 05:21:52+00,,,,,,,6.0,7.0,5.0,7.0,
80,v2_CSM,CSM,2025-11-20 13:05:13+00,7.0,,6.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,
81,v2_CSM,CSM,2025-11-24 08:39:41+00,7.0,,6.0,8.0,6.0,6.0,9.0,9.0,7.0,7.0,
82,v2_CSM,CSM,2025-11-25 01:02:58+00,9.0,,8.0,7.0,8.0,9.0,10.0,10.0,10.0,9.0,
83,v2_CSM,CSM,2025-11-26 03:28:02+00,,,,,,,8.0,8.0,8.0,8.0,
84,v2_CSM,CSM,2025-11-26 03:34:43+00,7.0,,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,
85,v2_CSM,CSM,2025-11-26 03:43:23+00,5.0,,6.0,7.0,3.0,5.0,7.0,7.0,3.0,3.0,
86,v2_CSM,CSM,2025-11-27 02:51:24+00,,,,,,,8.0,8.0,8.0,8.0,
87,v2_CSM,CSM,2025-11-27 07:05:54+00,9.0,,7.0,9.0,8.0,,9.0,10.0,8.0,10.0,
88,v2_CSM,CSM,2025-11-28 00:29:59+00,4.0,,3.0,5.0,8.0,10.0,10.0,10.0,7.0,10.0,
89,v2_CSM,CSM,2025-11-28 02:43:14+00,8.0,,8.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,
90,v2_CSM,CSM,2025-11-28 05:47:44+00,8.0,,7.0,8.0,7.0,6.0,8.0,6.0,6.0,8.0,
91,v2_CSM,CSM,2025-11-28 08:10:01+00,8.0,,8.0,6.0,5.0,7.0,10.0,8.0,7.0,8.0,
92,v2_CSM,CSM,2025-11-30 15:46:04+00,,,,,,,7.0,7.0,1.0,6.0,
93,v2_CSM,CSM,2025-12-02 03:55:39+00,,,,,,,7.0,4.0,6.0,7.0,
94,v2_CSM,CSM,2025-12-02 08:17:42+00,8.0,,7.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,
95,v2_CSM,CSM,2025-12-08 04:49:52+00,7.0,,7.0,8.0,9.0,7.0,9.0,9.0,8.0,10.0,
96,v2_CSM,CSM,2025-12-10 00:42:46+00,,,,,,,8.0,6.0,6.0,6.0,
97,v2_CSM,CSM,2025-12-16 01:45:14+00,7.0,,6.0,9.0,6.0,6.0,7.0,7.0,7.0,7.0,
98,v2_CSM,CSM,2025-12-16 01:45:44+00,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,
99,v2_CSM,CSM,2025-12-16 02:14:33+00,8.0,,8.0,10.0,7.0,7.0,7.0,7.0,7.0,8.0,
100,v2_CSM,CSM,2025-12-16 03:23:02+00,,,,,,,10.0,8.0,9.0,10.0,
101,v2_CSM,CSM,2025-12-16 03:53:51+00,7.0,,7.0,9.0,3.0,4.0,8.0,8.0,7.0,8.0,
102,v2_CSM,CSM,2025-12-16 06:43:56+00,9.0,,8.0,10.0,8.0,7.0,10.0,10.0,10.0,10.0,
103,v2_CSM,CSM,2025-12-18 06:26:26+00,,,,,,,9.0,8.0,9.0,9.0,
104,v2_CSM,CSM,2025-12-19 06:39:26+00,,,,,,,10.0,10.0,7.0,7.0,
105,v2_CSM,CSM,2025-12-19 06:40:35+00,7.0,,6.0,8.0,5.0,8.0,7.0,4.0,4.0,6.0,
106,v2_CSM,CSM,2025-12-19 06:42:28+00,5.0,,7.0,10.0,10.0,4.0,7.0,5.0,6.0,7.0,
107,v2_CSM,CSM,2025-12-19 06:48:02+00,5.0,,4.0,6.0,5.0,4.0,7.0,8.0,5.0,7.0,
108,v2_CSM,CSM,2025-12-19 06:56:41+00,10.0,,9.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,
109,v2_CSM,CSM,2025-12-19 07:17:53+00,9.0,,9.0,10.0,8.0,7.0,10.0,9.0,10.0,9.0,
110,v2_CSM,CSM,2025-12-19 07:53:01+00,7.0,,10.0,10.0,8.0,8.0,10.0,10.0,7.0,10.0,
111,v2_CSM,CSM,2025-12-21 05:36:08+00,8.0,,8.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,
112,v2_CSM,CSM,2025-12-21 23:38:59+00,7.0,,7.0,9.0,5.0,3.0,9.0,6.0,4.0,8.0,
113,v2_CSM,CSM,2025-12-21 23:58:59+00,,,,,,,6.0,5.0,4.0,7.0,
114,v2_CSM,CSM,2025-12-28 23:11:57+00,9.0,,9.0,10.0,8.0,5.0,9.0,8.0,8.0,9.0,
