id,insight,type,sourceTypes,source,userGroup,squads,features,country,status,mentions,quotes,notes,created,lastModified,sentiment,publisher,jira,isNew,unclassified,core_insight,insight_type,mention_count,source_label,customer_segment,affected_squads,affected_features,mentionHistory,statusHistory,qa_reviewed,qa_reviewed_at,featurebase_id,featurebase_board_id,featurebase_synced_at,featurebase_votes
55,The user needs to be able to use the tool to draft text snippets so that they can save time.,General Feedback,Direct Feedback,"Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_small_law_firm,Continous_Direct_Feedback_GovernmentInstitutions",Big Law Firm; Small Law Firm; Government Institutions,Drafting Squad,,All,Well done - positive feedback outweighs negative,3,,,2025-10-09,2026-03-02,Negative,,,false,true,The user needs to be able to use the tool to draft text snippets so that they can save time.,General Feedback,3,"Continous_Direct_Feedback_big_law_firm,Continous_Direct_Feedback_small_law_firm,Continous_Direct_Feedback_GovernmentInstitutions",Big Law Firm; Small Law Firm; Government Institutions,Drafting Squad,,"[{""date"": ""2026-06-22"", ""count"": 3, ""source"": ""baseline"", ""status"": ""Well done - positive feedback outweighs negative""}]","[{""date"": ""2026-06-22"", ""status"": ""Well done - positive feedback outweighs negative""}]",,,,,,
58,The user needs the tool to be transparent if it does not have any sources available.,Improvement,Direct Feedback,"Continous_Direct_Feedback_small_law_firm,2025_11_Beck_Feedback_Survey_2,Direct_Feedback_Corp_002_08_2026",Small Law Firm; Mixed,Platform Squad,Research,All,Identified - JIRA ticket exists,5,"[2026-08-20] ""hat zugegeben, dass es Zitat nicht gibt, erst auf Nachfrage / klarer machen, wenn es etwas nicht gibt"" (Direct_Feedback_Corp_002_08_2026)",,2025-10-10,2026-08-20,Negative,Beck Germany,,true,false,The user needs the tool to be transparent if it does not have any sources available.,Improvement,5,"Continous_Direct_Feedback_small_law_firm,2025_11_Beck_Feedback_Survey_2,Direct_Feedback_Corp_002_08_2026",Small Law Firm; Mixed,Platform Squad,Research,"[{""date"": ""2026-06-22"", ""count"": 4, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-08-20"", ""count"": 5, ""source"": ""merged from Direct_Feedback_Corp_002_08_2026 (only admitted a citation did not exist on follow-up) (+1)""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,6a6cc945f8e5d9da850c0c81,6a213f3998f1621c64f747fb,2026-08-20T23:19:00.179814Z,6
60,The user needs the tool to chose the sources based on the nature of the question. E.g. Formularhandbücher used as a substitute source: unsuitable for doctrinal questions.,General Feedback,Direct Feedback,Continous_Direct_Feedback_small_law_firm,Small Law Firm,AI Squad,Research,All,New – Not yet discussed,1,,,2025-10-10,2026-07-08,Negative,,,true,false,The user needs the tool to chose the sources based on the nature of the question. E.g. Formularhandbücher used as a substitute source: unsuitable for doctrinal questions.,General Feedback,1,Continous_Direct_Feedback_small_law_firm,Small Law Firm,AI Squad,Research,"[{""date"": ""2026-06-22"", ""count"": 1, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}]",,,,,,
62,The user needs a complete list of the sources additionally to synthesized results.,Improvement,Direct Feedback;Interview Study,"Continous_Direct_Feedback_small_law_firm,2026_01_Workflow_Expectations_Interview",Small Law Firm; Mixed,Platform Squad,Workflows;Research,All,Identified - JIRA ticket exists,3,,,2025-10-10,2026-07-08,Negative,,,true,false,The user needs a complete list of the sources additionally to synthesized results.,Improvement,3,"Continous_Direct_Feedback_small_law_firm,2026_01_Workflow_Expectations_Interview",Small Law Firm; Mixed,Platform Squad,Workflows;Research,"[{""date"": ""2026-06-22"", ""count"": 3, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
69,The user needs the direct citations and no indirect ones of a secondary source.,Improvement,Direct Feedback,"Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm",Corporate Law Department; Big Law Firm,AI Squad,Research,All,Identified - JIRA ticket exists,4,,,2025-10-13,2026-07-08,Negative,,,true,false,The user needs the direct citations and no indirect ones of a secondary source.,Improvement,4,"Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm",Corporate Law Department; Big Law Firm,AI Squad,Research,"[{""date"": ""2026-06-22"", ""count"": 3, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""count"": 4, ""source"": ""merged from ID 61 (+1)""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
70,The user needs to be able to give feedback regarding the quality of the task fulfillment.,Missing Feature,Direct Feedback,Continous_Direct_Feedback_corporate,Corporate Law Department,Platform Squad,All,All,New – Not yet discussed,2,,,2025-10-13,2026-02-02,Negative,,,true,false,The user needs to be able to give feedback regarding the quality of the task fulfillment.,Missing Feature,2,Continous_Direct_Feedback_corporate,Corporate Law Department,Platform Squad,All,"[{""date"": ""2026-06-22"", ""count"": 2, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}]",,,,,,
71,The user needs the tool to make own deductions beyond the provision and integration of feedback.,Improvement,Direct Feedback;Interview Study,"Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms",Corporate Law Department; Big Law Firm,AI Squad,Research,All,Identified - JIRA ticket exists,4,,,2025-10-13,2026-07-08,Negative,,,true,false,The user needs the tool to make own deductions beyond the provision and integration of feedback.,Improvement,4,"Continous_Direct_Feedback_corporate,2025_11_Personas_M_B_Lawfirms",Corporate Law Department; Big Law Firm,AI Squad,Research,"[{""date"": ""2026-06-22"", ""count"": 4, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,,,,
72,The user needs the tool to also provide them with alternative perspectives not only e.g. with the predominant one.,Improvement,Direct Feedback;Interview Study,"Continous_Direct_Feedback_corporate,2026_02_Personas_Corporate,2026_03_Personas_Judiciary,Vattenfall Feedback Call – 2026-07-13,Direct_Feedback_Corp_002_08_2026",Corporate Law Department; Prosecution/ Judges,AI Squad,Research,All,Identified - JIRA ticket exists,8,"""Even positive hallucination leads to a new thought you wouldn't have had alone (Corp6); AI helps me take other perspectives - you only ever think from your own (Justice6)"" (Corporate / Judiciary Personas) | [2026-07-13] ""Fundstellen sehr eingeschränkt aufgelistet und eher exotischer Natur, zB herschende Literatur"" (Vattenfall Feedback Call – 2026-07-13) | [2026-07-13] ""Hinweis auf andere Meinung in Urteilen bzw in nächster "" (Vattenfall Feedback Call – 2026-07-13)

[2026-08-20] ""P: ich kann nicht genau sagen, ob es das Zitat gibt. Ich habe die RsprLinie korrekt wiedergeben"" (Direct_Feedback_Corp_002_08_2026)",,2025-10-13,2026-08-20,Negative,,,true,false,The user needs the tool to also provide them with alternative perspectives not only e.g. with the predominant one.,Improvement,8,"Continous_Direct_Feedback_corporate,2026_02_Personas_Corporate,2026_03_Personas_Judiciary,Vattenfall Feedback Call – 2026-07-13,Direct_Feedback_Corp_002_08_2026",Corporate Law Department; Prosecution/ Judges,AI Squad,Research,"[{""date"": ""2026-06-22"", ""count"": 5, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-08-10"", ""count"": 6, ""source"": ""merged from Vattenfall Feedback Call – 2026-07-13 (limited/exotic sources - contradicting opinions angle) (+1)""}, {""date"": ""2026-08-10"", ""count"": 7, ""source"": ""merged from Vattenfall Feedback Call – 2026-07-13 (dissenting opinions across instances) (+1)""}, {""date"": ""2026-08-20"", ""count"": 8, ""source"": ""merged from Direct_Feedback_Corp_002_08_2026 (wants opposing legal opinions surfaced) (+1)""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}, {""date"": ""2026-07-08"", ""status"": ""Identified - JIRA ticket exists""}]",,,6a6cc96ad361a8379e1ef528,6a213f3998f1621c64f747fb,2026-08-20T23:19:00.179833Z,6
74,"The user wants to be able to add additional (e.g. internal) data and cases to the tool, so that it can integrate this data as well.",Missing Feature,Direct Feedback;Interview Study,"Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,2025_12_KnowledgeBase_UCs_Interviews",Corporate Law Department; Big Law Firm; Mixed,Platform Squad,Document Storage;Knowledge Base,All,Planned for development,21,,,2025-10-13,2026-07-08,Negative,,,false,false,"The user wants to be able to add additional (e.g. internal) data and cases to the tool, so that it can integrate this data as well.",Missing Feature,21,"Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_big_law_firm,2025_12_KnowledgeBase_UCs_Interviews",Corporate Law Department; Big Law Firm; Mixed,Platform Squad,Document Storage;Knowledge Base,"[{""date"": ""2026-06-22"", ""count"": 21, ""source"": ""baseline"", ""status"": ""Identified - JIRA ticket exists""}]","[{""date"": ""2026-06-22"", ""status"": ""Identified - JIRA ticket exists""}, {""date"": ""2026-07-08"", ""status"": ""Planned for development""}]",,,6a5121618dc979d466a3ce4f,,2026-07-10T17:25:25.263338Z,21
75,The user needs to be able to customize the tool to fit to their individual or company internal policies or preferences.,Missing Feature,Direct Feedback;Interview Study;Usability Testing,"Continous_Direct_Feedback_corporate,202510-Canvas-Interview_Testing,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,2025_11_Personas_M_B_Lawfirms,Direct_Feedback_2026_06",Corporate Law Department; Mixed; Big Law Firm,Platform Squad,User Profile,All,Identified - JIRA ticket exists,13,"Nutzer möchten Eigenschaften (Rolle, Zitierweise, Textaufbau) generell festlegen, statt jedes Mal zu prompten. | [Lime Survey 2026-07-23, RID 95]: ""Es würde schon helfen, wenn man etwas zu den Anforderungen, die man hat, hinterlegen könnte. Bei […] Noxtua fühle ich mich grundsätzlich so, als ob ich einem Viertsemester erst erklären muss, dass ich nicht ohne Anlass breite Ausführungen d…""",,2025-10-13,2026-07-23,Negative,Beck Germany,,false,false,The user needs to be able to customize the tool to fit to their individual or company internal policies or preferences.,Missing Feature,13,"Continous_Direct_Feedback_corporate,202510-Canvas-Interview_Testing,2025_11_Beck_Feedback_Survey_2,2025_10_Beck_Feedback_Survey,2025_11_Personas_M_B_Lawfirms,Direct_Feedback_2026_06",Corporate Law Department; Mixed; Big Law Firm,Platform Squad,User Profile,"[{""date"": ""2026-06-22"", ""count"": 9, ""source"": ""baseline"", ""status"": ""Identified - JIRA ticket exists""}, {""count"": 10, ""date"": ""2026-06-29"", ""source"": ""feedback_batch_20260629"", ""status"": ""Identified - JIRA ticket exists""}, {""date"": ""2026-07-23"", ""count"": 13, ""source"": ""feedback_batch_20260723 (Editor/Canvas survey) (+3)"", ""status"": ""Identified - JIRA ticket exists""}]","[{""date"": ""2026-06-22"", ""status"": ""Identified - JIRA ticket exists""}]",,,6a51217403cf284364f61214,,2026-07-10T17:25:26.439622Z,10
76,The user needs to have insights into the sources of the provided answer in order to verify results easier.,General Feedback,Direct Feedback;Workshop;Interview Study,"Continous_Direct_Feedback_big_law_firm, 2025_11_Beck_Feedback_Survey_2, 2025_11_Zalando_Hackathon, 2025_11_Personas_M_B_Lawfirms, Continous_Direct_Feedback_GovernmentInstitutions, Continous_Direct_Feedback_corporate, Bayrische_Landesbank_042026, BayernLB_Feedback_2026_07",Big Law Firm; Mixed; Corporate Law Department; Government Institutions,Platform Squad,Research,All,Well done - positive feedback outweighs negative,66,"BayernLB 2026-07: ""Die Angabe zitierfähiger Fundstellen sowie die Möglichkeit, relevante Textstellen unmittelbar im Kontext zu prüfen, wird als großer Vorteil gegenüber anderen KI-Systemen hervorgehoben.""",,2025-10-14,2026-07-06,Positive,Beck Germany,,false,false,The user needs to have insights into the sources of the provided answer in order to verify results easier.,General Feedback,66,"Continous_Direct_Feedback_big_law_firm, 2025_11_Beck_Feedback_Survey_2, 2025_11_Zalando_Hackathon, 2025_11_Personas_M_B_Lawfirms, Continous_Direct_Feedback_GovernmentInstitutions, Continous_Direct_Feedback_corporate, Bayrische_Landesbank_042026, BayernLB_Feedback_2026_07",Big Law Firm; Mixed; Corporate Law Department; Government Institutions,Platform Squad,Research,"[{""date"": ""2026-06-22"", ""count"": 65, ""source"": ""baseline"", ""status"": ""Well done - positive feedback outweighs negative""}, {""date"": ""2026-07-06"", ""count"": 66, ""source"": ""BayernLB_Feedback_2026_07"", ""status"": ""Well done - positive feedback outweighs negative""}]","[{""date"": ""2026-06-22"", ""status"": ""Well done - positive feedback outweighs negative""}]",,,,,,
77,The users have different needs for the level of detail of the answer.,Missing Feature,Direct Feedback;Workshop;Interview Study,"Continous_Direct_Feedback_big_law_firm,2025_11_Zalando_Hackathon,2026_02_Personas_Corporate",Big Law Firm; Corporate Law Department,Platform Squad,Research;Personalization,All,Identified - JIRA ticket exists,8,"“Wäre toll, wenn man einstellen könnte, wie ausführlich die Antworten sind”
""I want to prompt that I want a topic detailed, or simply broken down"" (Corporate Personas)",Should be looked at holistically as a topic of user/ answer preferences. > should monitored!,2025-10-14,2026-07-09,Negative,,,false,false,The users have different needs for the level of detail of the answer.,Missing Feature,8,"Continous_Direct_Feedback_big_law_firm,2025_11_Zalando_Hackathon,2026_02_Personas_Corporate",Big Law Firm; Corporate Law Department,Platform Squad,Research;Personalization,"[{""date"": ""2026-06-22"", ""count"": 7, ""source"": ""baseline"", ""status"": ""Identified - JIRA ticket exists""}, {""date"": ""2026-07-09"", ""count"": 8, ""source"": ""quality-review-merge""}]","[{""date"": ""2026-06-22"", ""status"": ""Identified - JIRA ticket exists""}]",,,6a51217dba59b90f02b5f59c,,2026-07-10T17:25:27.698967Z,8
78,The user would like to be able to see exactly from which part of a source the model derived the answer.,Missing Feature,Direct Feedback;Interview Study,"Continous_Direct_Feedback_big_law_firm,2026_01_Workflow_Expectations_Interview,2025_12_KnowledgeBase_UCs_Interviews,Continous_Publisher_Swiss_Noxtua",Big Law Firm; Mixed; Publisher,Platform Squad,Research;Knowledge Base,All,Identified - JIRA ticket exists,11,“Direkt Quellen an der Seite einzusehen wäre natürlich noch besser.”,Study to be planned,2025-10-14,2026-07-08,Negative,Swiss,,false,false,The user would like to be able to see exactly from which part of a source the model derived the answer.,Missing Feature,11,"Continous_Direct_Feedback_big_law_firm,2026_01_Workflow_Expectations_Interview,2025_12_KnowledgeBase_UCs_Interviews,Continous_Publisher_Swiss_Noxtua",Big Law Firm; Mixed; Publisher,Platform Squad,Research;Knowledge Base,"[{""date"": ""2026-06-22"", ""count"": 9, ""source"": ""baseline"", ""status"": ""Identified - JIRA ticket exists""}, {""date"": ""2026-07-08"", ""count"": 10, ""source"": ""merged from ID 417 (+1)""}, {""date"": ""2026-07-08"", ""count"": 11, ""source"": ""merged from ID 424 (+1)""}]","[{""date"": ""2026-06-22"", ""status"": ""Identified - JIRA ticket exists""}]",,,6a51218592665376ac3eea1b,,2026-07-10T17:25:28.786594Z,11
79,The user needs to be able to understand which steps the AI takes to derive the results.,General Feedback,Direct Feedback;Interview Study;User Interview,"Continous_Direct_Feedback_big_law_firm,202510-Canvas-Interview,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_small_law_firm,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions",Big Law Firm; Corporate Law Department; Mixed; Small Law Firm; Government Institutions,Platform Squad,Thinking Process,All,Well done - positive feedback outweighs negative,28,,,2025-10-14,2026-03-02,Negative,Beck Germany,,false,false,The user needs to be able to understand which steps the AI takes to derive the results.,General Feedback,28,"Continous_Direct_Feedback_big_law_firm,202510-Canvas-Interview,2025_11_Beck_Feedback_Survey_2,Continous_Direct_Feedback_corporate,Continous_Direct_Feedback_small_law_firm,2025_11_Personas_M_B_Lawfirms,Continous_Direct_Feedback_GovernmentInstitutions",Big Law Firm; Corporate Law Department; Mixed; Small Law Firm; Government Institutions,Platform Squad,Thinking Process,"[{""date"": ""2026-06-22"", ""count"": 28, ""source"": ""baseline"", ""status"": ""Well done - positive feedback outweighs negative""}]","[{""date"": ""2026-06-22"", ""status"": ""Well done - positive feedback outweighs negative""}]",,,,,,
80,The user would like to be able to integrate their thoughts with the official information from the provided sources.,Improvement,Direct Feedback,Continous_Direct_Feedback_big_law_firm,Big Law Firm,AI Squad,,All,New – Not yet discussed,2,,,2025-10-14,2026-02-02,Negative,,,true,true,The user would like to be able to integrate their thoughts with the official information from the provided sources.,Improvement,2,Continous_Direct_Feedback_big_law_firm,Big Law Firm,AI Squad,,"[{""date"": ""2026-06-22"", ""count"": 2, ""source"": ""baseline"", ""status"": ""New – Not yet discussed""}]","[{""date"": ""2026-06-22"", ""status"": ""New – Not yet discussed""}]",,,,,,
